assestment;text;author;source;text_clean;sentiment_all;sentiment_avg;uniq_words;uniq_lemm;err;net;ADJ;ADV;NOUN
Manipulacja;Prawo i Sprawiedliwość opowiadało, że w Polsce nie będzie inflacji ze względu na to, że wpompowaliśmy 200 mld w rynek, kiedy był COVID. To przecież pan premier Morawiecki z mównicy sejmowej mówił. Powiedział, że walczymy z bezrobociem. Jednocześnie większą obawę ma, że będzie deflacja niż inflacja.;Krzysztof Gawkowski;Śniadanie Rymanowskiego w Polsat News i Interii, 01.05.2022;Prawo i Sprawiedliwość opowiadało, że w Polsce nie będzie inflacji ze względu na to, że wpompowaliśmy 200 mld w rynek, kiedy był COVID. To przecież pan premier Morawiecki z mównicy sejmowej mówił. Powiedział, że walczymy z bezrobociem. Jednocześnie większą obawę ma, że będzie deflacja niż inflacja.;-0.08392718434333801;-0.1710003325715661;40.0;37.0;6.0;4.0;0.1;0.075;0.275
Fałsz;Jest to zaślepienie skrajne. Autor tego ćwierka ślepo wierzy ukraińskiej propagandzie i sądzi, że pokazuje jak bezmyślni i okrutni są #Rosjanie!! W rzeczywistości dostarczył kolejny silny (oczywiście nie „decydujący”!) argument za tym, że #mordercami w #Buczy byli #Ukraińcy.;Janusz Korwin-Mikke;Twitter, 08.05.2022;Jest to zaślepienie skrajne. Autor tego ćwierka ślepo wierzy ukraińskiej propagandzie i sądzi, że pokazuje jak bezmyślni i okrutni są #Rosjanie!! W rzeczywistości dostarczył kolejny silny (oczywiście nie „decydujący”!) argument za tym, że #mordercami w #Buczy byli #Ukraińcy.;-0.13668614625930786;-0.2559869922697544;37.0;34.0;4.0;7.0;0.2702702702702703;0.08108108108108109;0.16216216216216217
Manipulacja;Ok 22000 Polaków zmarło w ciągu 28 dni po szczepieniu, co wg prawa jest traktowane jako ciężki NOP. Pokazuje to skalę zakłamania oficjalnych statystyk.;Jacek Wilk;Twitter, 05.05.2022;Ok 22000 Polaków zmarło w ciągu 28 dni po szczepieniu, co wg prawa jest traktowane jako ciężki NOP. Pokazuje to skalę zakłamania oficjalnych statystyk.;-0.43463683128356934;-0.46699007600545883;24.0;24.0;2.0;0.0;0.16666666666666666;0.0;0.25
Manipulacja;Te bajki o putinflacji to są bzdury. To opowieści, które nie mają żadnego pokrycia nie tylko w pieniądzu, ale w prawdziwości słowa, ponieważ średnia inflacja w UE wynosi 7,8 proc., a w Polsce sięga już ponad 12 proc.;Robert Biedroń;Graffiti, 02.05.2022;Te bajki o putinflacji to są bzdury. To opowieści, które nie mają żadnego pokrycia nie tylko w pieniądzu, ale w prawdziwości słowa, ponieważ średnia inflacja w UE wynosi 7,8 proc., a w Polsce sięga już ponad 12 proc.;-0.02453797124326229;-0.3841428117205699;33.0;32.0;3.0;2.0;0.0;0.0;0.36363636363636365
Fałsz;Węgry to jest nic przy Niemcach. Gdyby Niemcy przyjęły inną postawę, to Węgry miałyby tyle do powiedzenia co w czasie głosowania nad wyborem Donalda Tuska już tutaj wspomnianym. Po prostu nie byłyby w stanie zablokować (sankcji – przyp. Demagog). ;Jakub Kumoch;Woronicza 17, 1.05.2022;Węgry to jest nic przy Niemcach. Gdyby Niemcy przyjęły inną postawę, to Węgry miałyby tyle do powiedzenia co w czasie głosowania nad wyborem Donalda Tuska już tutaj wspomnianym. Po prostu nie byłyby w stanie zablokować sankcji. ;-0.10172416269779205;-0.22261708974838257;33.0;32.0;2.0;7.0;0.06060606060606061;0.06060606060606061;0.24242424242424243
Fałsz;Według oficjalnych źródeł 0,7 mln Ukraińców na święta wróciło do swojego kraju.;Krzysztof Bosak;7. Dzień Tygodnia w Radiu ZET, 01.05.2022;Według oficjalnych źródeł 0,7 mln Ukraińców na święta wróciło do swojego kraju.;-0.15702028572559357;-0.15702028572559357;12.0;12.0;1.0;1.0;0.08333333333333333;0.0;0.25
Prawda;W listopadzie tamtego roku pan prezydent Andrzej Duda przyznał specjalną nagrodę gospodarczą panu Glapińskiemu, za utrzymaniu stabilności bankowej.;Dariusz Klimczak;Kawa na ławę, 08.05.2022;W listopadzie tamtego roku pan prezydent Andrzej Duda przyznał specjalną nagrodę gospodarczą panu Glapińskiemu, za utrzymaniu stabilności bankowej.;-0.018918966874480247;-0.018918966874480247;18.0;17.0;2.0;4.0;0.05555555555555555;0.0;0.4444444444444444
Prawda;Dochody (Rosji – przyp. Demagog) z ropy naftowej są trzykrotnie wyższe niż dochody ze sprzedaży gazu.;Zbigniew Kuźmiuk;Sygnały dnia, 05.05.2022;Dochody Rosji z ropy naftowej są trzykrotnie wyższe niż dochody ze sprzedaży gazu.;-0.046960409730672836;-0.08630424365401268;13.0;12.0;0.0;1.0;0.07692307692307693;0.07692307692307693;0.3076923076923077
Manipulacja;Ostatnie kilkanaście miesięcy i decyzja z roku 2020 (...), żeby przejść na ceny spotowe, czyli na ceny zakupów na giełdzie, od ceny długoterminowej wynegocjowanej przez Pawlaka, płaciliśmy Gazpromowi, Putinowi miliard dolarów miesięcznie więcej przez ostatnie miesiące.;Władysław Kosiniak-Kamysz;Onet Opinie, 27.04.2022;Ostatnie kilkanaście miesięcy i decyzja z roku 2020 , żeby przejść na ceny spotowe, czyli na ceny zakupów na giełdzie, od ceny długoterminowej wynegocjowanej przez Pawlaka, płaciliśmy Gazpromowi, Putinowi miliard dolarów miesięcznie więcej przez ostatnie miesiące.;-0.00899549014866352;-0.00899549014866352;29.0;28.0;6.0;4.0;0.20689655172413793;0.0;0.3793103448275862
Prawda;Minister Jasiński podpisał bez czytania de facto zgodę na umowę (na dostawy gazu ze Wschodu w 2006 roku – przyp. Demagog).;Władysław Kosiniak-Kamysz;Onet Opinie, 27.04.2022;Minister Jasiński podpisał bez czytania de facto zgodę na umowę na dostawy gazu ze Wschodu w 2006 roku.;-0.13644559681415558;-0.13644559681415558;17.0;17.0;1.0;3.0;0.11764705882352941;0.0;0.4117647058823529
Częściowy fałsz;Tamtego rządu głównym pomysłem na bezpieczeństwo, tak to nazwijmy, energetyczne było przedłużenie umowy jamalskiej do 2037 roku. (...) Wtrąciła się Komisja Europejska i powiedziała, że przeginacie, że Waldemar Pawlak przesadza, i że przedłużenie kontraktu tak długie jest niedopuszczalne.;Radosław Fogiel;Woronicza 17, 01.05.2022;Tamtego rządu głównym pomysłem na bezpieczeństwo, tak to nazwijmy, energetyczne było przedłużenie umowy jamalskiej do 2037 roku. Wtrąciła się Komisja Europejska i powiedziała, że przeginacie, że Waldemar Pawlak przesadza, i że przedłużenie kontraktu tak długie jest niedopuszczalne.;-0.31132131814956665;-0.27126506343483925;32.0;32.0;6.0;4.0;0.3125;0.09375;0.25
Prawda;46 proc. sektora bankowego (w Polsce – przyp. Demagog) jest w rękach państwa.;Borys Budka;Gość Radia ZET, 27.04.2022;46 proc. sektora bankowego w Polsce jest w rękach państwa.;-0.00899549014866352;-0.00899549014866352;9.0;9.0;0.0;1.0;0.1111111111111111;0.0;0.3333333333333333
Prawda;Węgry są jedynym krajem Unii Europejskiej, który odmawia (...) transportu broni (do Ukrainy – przyp. Demagog) przez ich kraj.;Barbara Nowacka;Kropka nad i, 25.04.2022;Węgry są jedynym krajem Unii Europejskiej, który odmawia ... transportu broni do Ukrainy przez ich kraj.;-0.00899549014866352;-0.00899549014866352;15.0;14.0;0.0;3.0;0.13333333333333333;0.0;0.4666666666666667
Prawda;Tak naprawdę własne zasoby gazu w Polsce wystarczyłyby dla zaspokojenia potrzeb gospodarstw domowych.;Izabela Leszczyna;Onet Opinie, 22.04.2022;Tak naprawdę własne zasoby gazu w Polsce wystarczyłyby dla zaspokojenia potrzeb gospodarstw domowych.;-0.05322743207216263;-0.05322743207216263;13.0;13.0;0.0;1.0;0.15384615384615385;0.07692307692307693;0.38461538461538464
Nieweryfikowalne;Generalnie, jak pokazują dane i szacunki, to najbardziej obciążone kredytami hipotecznymi, bo to między 20 a 30 proc., są te najzamożniejsze gospodarstwa domowe. A wśród tych najuboższych, najniżej sytuowanych Polaków tylko 5 proc. spłaca kredyty hipoteczne.;Gabriela Morawska-Stanecka;Wywiad Polityczny, 07.04.2022;Generalnie, jak pokazują dane i szacunki, to najbardziej obciążone kredytami hipotecznymi, bo to między 20 a 30 proc., są te najzamożniejsze gospodarstwa domowe. A wśród tych najuboższych, najniżej sytuowanych Polaków tylko 5 proc. spłaca kredyty hipoteczne.;-0.00899549014866352;-0.08336411137133837;33.0;29.0;3.0;1.0;0.21212121212121213;0.06060606060606061;0.21212121212121213
Prawda;Według ich (ukraińskich – przyp. Demagog) danych w Polsce, czy na terytorium Polski, uczy się zdalnie 540 tys. dzieci z Ukrainy.;Tomasz Rzymkowski;Kwadrans polityczny, 25.04.2022;Według ich ukraińskich danych w Polsce, czy na terytorium Polski, uczy się zdalnie 540 tys. dzieci z Ukrainy.;-0.00899549014866352;-0.00899549014866352;18.0;17.0;0.0;3.0;0.05555555555555555;0.05555555555555555;0.16666666666666666
Fałsz;Po pierwsze, jest 51,25 proc. ludzi tylko zaszczepionych (przeciwko COVID-19 – przyp. Demagog). Po drugie, o czym przypominam, mniej więcej 100 osób codziennie umiera (w Polsce – przyp. Demagog), nadal.;Włodzimierz Czarzasty;Kawa na ławę, 24.04.2022;Po pierwsze, jest 51,25 proc. ludzi tylko zaszczepionych przeciwko COVID-19. Po drugie, o czym przypominam, mniej więcej 100 osób codziennie umiera w Polsce, nadal.;-0.00899549014866352;-0.045054988004267216;24.0;24.0;0.0;1.0;0.125;0.125;0.08333333333333333
Prawda;Po pierwsze, system bankowy w Polsce, no, ma się nieźle. (...) Zysk w porównaniu do zeszłego roku to jest o 100 proc.;Adam Szłapka;Kawa na ławę, 24.04.2022;Po pierwsze, system bankowy w Polsce, no, ma się nieźle. Zysk w porównaniu do zeszłego roku to jest o 100 proc.;0.026140503585338593;-0.08103715116158128;19.0;19.0;1.0;1.0;0.15789473684210525;0.0;0.2631578947368421
Fałsz;Magazyny gazu mamy pełne tylko w 60%, bo w listopadzie, jak USA poinformowało o zbliżającej się wojnie, nikt nie pomyślał, aby je napełnić.;Roman Giertych;Twitter, 26.04.2022;Magazyny gazu mamy pełne tylko w 60%, bo w listopadzie, jak USA poinformowało o zbliżającej się wojnie, nikt nie pomyślał, aby je napełnić.;-0.02401209995150566;-0.02401209995150566;23.0;23.0;2.0;2.0;0.08695652173913043;0.0;0.17391304347826086
Fałsz;Dwa miesiące po wprowadzeniu sankcji wobec setek rosyjskich oligarchów przez UE, rząd PiS rozpoczął wprowadzanie tych sankcji. Rychło w czas.;Jan Grabiec;Twitter, 26.04.2022;Dwa miesiące po wprowadzeniu sankcji wobec setek rosyjskich oligarchów przez UE, rząd PiS rozpoczął wprowadzanie tych sankcji. Rychło w czas.;-0.00899549014866352;-0.12315018568187952;19.0;19.0;4.0;3.0;0.05263157894736842;0.0;0.3684210526315789
Fałsz;Turcja oferowała uchodźcom syryjskim znacznie prostszą pomoc, po prostu obozy namiotowe i jedzenie. Tam nie było opieki zdrowotnej, tam nie było edukacji, oświaty dla dzieci syryjskich.;Adam Bielan;Poranna Rozmowa Gazeta.pl, 20.04.2022;Turcja oferowała uchodźcom syryjskim znacznie prostszą pomoc, po prostu obozy namiotowe i jedzenie. Tam nie było opieki zdrowotnej, tam nie było edukacji, oświaty dla dzieci syryjskich.;-0.22716522216796875;-0.3601109329611063;24.0;22.0;1.0;3.0;0.25;0.125;0.25
Częściowy fałsz;Turcja, który przyjmowała uchodźców z Syrii, w czasie w znacznie dłuższym, tzn. tam nie było takiego tempa. Pierwszy milion uchodźców z Syrii pojawił się na terenie Turcji po 3 miesiącach od wybuchu konfliktu, u nas to był tydzień.;Adam Bielan;Poranna Rozmowa Gazeta.pl, 20.04.202;Turcja, który przyjmowała uchodźców z Syrii, w czasie w znacznie dłuższym, tzn. tam nie było takiego tempa. Pierwszy milion uchodźców z Syrii pojawił się na terenie Turcji po 3 miesiącach od wybuchu konfliktu, u nas to był tydzień.;-0.00899549014866352;-0.05910709500312805;34.0;32.0;4.0;4.0;0.058823529411764705;0.058823529411764705;0.23529411764705882
Prawda;W styczniu, kiedy jeszcze nie było wojny, pan prezes Glapiński wyszedł i poinformował wszystkich (...), że najwyższa inflacja będzie w czerwcu i powiedział zresztą, że to będzie ok. 8 proc. Okazało się, że już w styczniu inflacja była 9,2 proc.;Katarzyna Lubnauer;Rzecz o Polityce, 20.04.2022;W styczniu, kiedy jeszcze nie było wojny, pan prezes Glapiński wyszedł i poinformował wszystkich , że najwyższa inflacja będzie w czerwcu i powiedział zresztą, że to będzie ok. 8 proc. Okazało się, że już w styczniu inflacja była 9,2 proc.;-0.0738234892487526;-0.032139794901013374;31.0;29.0;2.0;5.0;0.12903225806451613;0.06451612903225806;0.2903225806451613
Prawda;Polska jest liderem, (...) jeżeli chodzi o liczbę wydalonych dyplomatów rosyjskich. Jeżeli nie na pierwszym, to na drugim miejscu jesteśmy, jeśli chodzi właśnie o liczbę wyrzuconych dyplomatów. ;Michał Dworczyk;Gość Radia ZET, 21.04.2022;Polska jest liderem, jeżeli chodzi o liczbę wydalonych dyplomatów rosyjskich. Jeżeli nie na pierwszym, to na drugim miejscu jesteśmy, jeśli chodzi właśnie o liczbę wyrzuconych dyplomatów. ;-0.0774020254611969;-0.1350964941084385;21.0;20.0;3.0;2.0;0.3333333333333333;0.047619047619047616;0.3333333333333333
Prawda;FAO twierdzi inaczej. Najmniejsze gospodarstwa do 2 ha zajmują 12% światowych zasobów ziemi rolnej i dostarczają 1/3 światowej produkcji żywności. Może i nie są w stanie wyżywić świata ale go żywią. 1/8 ziemi, 1/3 żywności...;Janusz Wojciechowski;Twitter, 21.04.2022;FAO twierdzi inaczej. Najmniejsze gospodarstwa do 2 ha zajmują 12% światowych zasobów ziemi rolnej i dostarczają 1/3 światowej produkcji żywności. Może i nie są w stanie wyżywić świata ale go żywią. 1/8 ziemi, 1/3 żywności...;-0.00899549014866352;-0.16132384212687612;32.0;32.0;7.0;1.0;0.1875;0.0625;0.3125
Prawda;W ubiegłym roku NBP miał rekordowe zyski, ponad 11 mld zł, jakich nikt jeszcze, żaden prezes NBP-u, nie miał.;Jarosław Sellin;Kawa na ławę, 17.04.2022;W ubiegłym roku NBP miał rekordowe zyski, ponad 11 mld zł, jakich nikt jeszcze, żaden prezes NBP-u, nie miał.;-0.00899549014866352;-0.00899549014866352;19.0;19.0;2.0;2.0;0.10526315789473684;0.0;0.15789473684210525
Fałsz;Z tego, co pamiętam, (...) to chyba takie prawo (o obrazie uczuć religijnych – przyp. Demagog) obowiązuje tylko w Rosji i w państwach muzułmańskich.;Włodzimierz Czarzasty;Gość Radia Zet, 19.04.2022;Z tego, co pamiętam, ... to chyba takie prawo o obrazie uczuć religijnych obowiązuje tylko w Rosji i w państwach muzułmańskich.;-0.24550586938858032;-0.24550586938858032;19.0;18.0;2.0;1.0;0.10526315789473684;0.0;0.15789473684210525
Manipulacja;Trzeba przypominać, że myśmy cel inflacyjny grubo przekroczyli już na początku 2020 roku, przed pojawieniem się pierwszego przypadku koronawirusa w Polsce. Bo w lutym inflacja w Polsce, o czym już mało kto pamięta, dobijała do 5 proc. Dokładnie wyniosła 4,7 proc.;Paulina Hennig-Kloska;Rzecz o polityce, 19.04.2022;Trzeba przypominać, że myśmy cel inflacyjny grubo przekroczyli już na początku 2020 roku, przed pojawieniem się pierwszego przypadku koronawirusa w Polsce. Bo w lutym inflacja w Polsce, o czym już mało kto pamięta, dobijała do 5 proc. Dokładnie wyniosła 4,7 proc.;-0.00899549014866352;-0.00899549014866352;36.0;36.0;2.0;6.0;0.1388888888888889;0.05555555555555555;0.19444444444444445
Częściowy fałsz;W 2016 roku (...) ten komponent rosyjskiej ropy to było prawie 80 proc. całej ropy, która trafia do Polski. To się zdecydowanie udało zmniejszyć (...) jest ok. połowy w tej chwili.;Jacek Sasin;Kwadrans polityczny, 30.03.2022;W 2016 roku ten komponent rosyjskiej ropy to było prawie 80 proc. całej ropy, która trafia do Polski. To się zdecydowanie udało zmniejszyć jest ok. połowy w tej chwili.;-0.00899549014866352;-0.11044582817703485;28.0;24.0;0.0;4.0;0.10714285714285714;0.07142857142857142;0.2857142857142857
Manipulacja;Dwa razy (...) zablokowano rozpoczęcia inwestycji Baltic Pipe. Ja tylko przypomnę, że w 2001 roku zrobił to rząd Lewicy, po tym, jak rząd AWS-u przygotował ten kontrakt z Norwegami i Duńczykami. I po raz drugi zrobił to rząd PO-PSL.;Zbigniew Kuźmiuk;Woronicza 17, 03.04.2022;Dwa razy zablokowano rozpoczęcia inwestycji Baltic Pipe. Ja tylko przypomnę, że w 2001 roku zrobił to rząd Lewicy, po tym, jak rząd AWS-u przygotował ten kontrakt z Norwegami i Duńczykami. I po raz drugi zrobił to rząd PO-PSL.;-0.18966509401798248;-0.34800244371096295;36.0;33.0;2.0;6.0;0.1111111111111111;0.0;0.2222222222222222
Fałsz;W ciągu roku (...) mamy 7,5 tys. godzin. I na te 7,5 tys. godzin (...) energetyka odnawialna zapewnia tylko moc w systemie na poziomie 2-2,5 tys. godzin.;Paweł Sałek;Woronicza 17, 03.04.2022;W ciągu roku mamy 7,5 tys. godzin. I na te 7,5 tys. godzin energetyka odnawialna zapewnia tylko moc w systemie na poziomie 2-2,5 tys. godzin.;-0.00899549014866352;-0.00899549014866352;20.0;19.0;0.0;0.0;0.1;0.0;0.4
Fałsz;Wygląda na to, że Ukraińcy powtórzyli scenariusz (w Mariupolu – przyp. Demagog) szpitala położniczego w Kuwejcie z 1990 roku, który został całkowicie zainscenizowany przez firmę Hill & Knowlton za $10,7 mln, aby przekonać Radę Bezpieczeństwa ONZ do interwencji w Iraku w ramach operacji Pustynna Tarcza/Sztorm . ;Janusz Korwin-Mikke;Twitter, 06.04.2022;Wygląda na to, że Ukraińcy powtórzyli scenariusz w Mariupolu szpitala położniczego w Kuwejcie z 1990 roku, który został całkowicie zainscenizowany przez firmę Hill & Knowlton za $10,7 mln, aby przekonać Radę Bezpieczeństwa ONZ do interwencji w Iraku w ramach operacji Pustynna Tarcza/Sztorm . ;-0.00899549014866352;-0.00899549014866352;40.0;40.0;4.0;6.0;0.1;0.05;0.3
Manipulacja;Bułgaria ma dziś zatwierdzony plan odbudowy i dostanie 6,3 mld euro ! Dostanie chociaż kilka dni temu został aresztowany premier Bułgarii za korupcję! ;Bogdan Rzońca;Twitter, 7.04.2022 ;Bułgaria ma dziś zatwierdzony plan odbudowy i dostanie 6,3 mld euro ! Dostanie chociaż kilka dni temu został aresztowany premier Bułgarii za korupcję! ;-0.3815150856971741;-0.3721426809206605;22.0;21.0;1.0;2.0;0.09090909090909091;0.045454545454545456;0.3181818181818182
Prawda;Pani Le Pen mówiła o tym, że NATO jest w ogóle fatalną organizacją, do której nikt nie powinien przystąpić. I na pewno w pierwszej kolejności, jeżeli ona zdobędzie tytuł pani prezydentki Francji, wycofa Francję z NATO. Też były przecież takie wywiady.;Joanna Scheuring-Wielgus;7. Dzień Tygodnia w Radiu ZET, 10.04.2022;Pani Le Pen mówiła o tym, że NATO jest w ogóle fatalną organizacją, do której nikt nie powinien przystąpić. I na pewno w pierwszej kolejności, jeżeli ona zdobędzie tytuł pani prezydentki Francji, wycofa Francję z NATO. Też były przecież takie wywiady.;-0.016546322032809258;-0.05391123207906882;39.0;37.0;3.0;5.0;0.10256410256410256;0.02564102564102564;0.20512820512820512
Prawda;31 marca w Poznaniu wyły syreny na polecenie (...) prezydenta Jaśkowiaka, który dzisiaj mówi, że on z uwagi na wrażliwość ukraińskich uchodźców tych syren nie uruchomi. 10 dni temu, 31 marca, nie było Ukraińców w Poznaniu?;Radosław Fogiel;Śniadanie Rymanowskiego w Polsat News i Interii, 10.04.2022;31 marca w Poznaniu wyły syreny na polecenie prezydenta Jaśkowiaka, który dzisiaj mówi, że on z uwagi na wrażliwość ukraińskich uchodźców tych syren nie uruchomi. 10 dni temu, 31 marca, nie było Ukraińców w Poznaniu?;-0.016842037439346313;-0.12606979999691248;29.0;29.0;4.0;6.0;0.13793103448275862;0.034482758620689655;0.3448275862068966
Fałsz;Jeżeli chodzi o odbieranie odznaczeń, to taką żelazną zasadą jest u nas, że to się odbywa na podstawie decyzji sądu, że to musi niezależny organ orzec winę itd. (...) Wtedy pan prezydent pozbawia orderu czy odznaczeń. Mieliśmy do tej pory dwa takie przypadki, kiedy zostały właśnie wydane orzeczenia sądowe dotyczące winy takiej osoby i w ten sposób jest ona uznawana za niegodną.;Andrzej Dera;Salon Polityczny Trójki, 05.04.2022;Jeżeli chodzi o odbieranie odznaczeń, to taką żelazną zasadą jest u nas, że to się odbywa na podstawie decyzji sądu, że to musi niezależny organ orzec winę itd. Wtedy pan prezydent pozbawia orderu czy odznaczeń. Mieliśmy do tej pory dwa takie przypadki, kiedy zostały właśnie wydane orzeczenia sądowe dotyczące winy takiej osoby i w ten sposób jest ona uznawana za niegodną.;-0.32400768995285034;-0.2895801365375519;56.0;54.0;4.0;4.0;0.16071428571428573;0.07142857142857142;0.32142857142857145
