assestment;text;author;source
Fałsz;Jest to zaślepienie skrajne. Autor tego ćwierka ślepo wierzy ukraińskiej propagandzie i sądzi, że pokazuje jak bezmyślni i okrutni są #Rosjanie!! W rzeczywistości dostarczył kolejny silny (oczywiście nie „decydujący”!) argument za tym, że #mordercami w #Buczy byli #Ukraińcy.;Janusz Korwin-Mikke;Twitter, 08.05.2022
Manipulacja;Ok 22000 Polaków zmarło w ciągu 28 dni po szczepieniu, co wg prawa jest traktowane jako ciężki NOP. Pokazuje to skalę zakłamania oficjalnych statystyk.;Jacek Wilk;Twitter, 05.05.2022
Manipulacja;Te bajki o putinflacji to są bzdury. To opowieści, które nie mają żadnego pokrycia nie tylko w pieniądzu, ale w prawdziwości słowa, ponieważ średnia inflacja w UE wynosi 7,8 proc., a w Polsce sięga już ponad 12 proc.;Robert Biedroń;Graffiti, 02.05.2022
Fałsz;Węgry to jest nic przy Niemcach. Gdyby Niemcy przyjęły inną postawę, to Węgry miałyby tyle do powiedzenia co w czasie głosowania nad wyborem Donalda Tuska już tutaj wspomnianym. Po prostu nie byłyby w stanie zablokować (sankcji – przyp. Demagog). ;Jakub Kumoch;Woronicza 17, 1.05.2022
Fałsz;Według oficjalnych źródeł 0,7 mln Ukraińców na święta wróciło do swojego kraju.;Krzysztof Bosak;7. Dzień Tygodnia w Radiu ZET, 01.05.2022
Prawda;W listopadzie tamtego roku pan prezydent Andrzej Duda przyznał specjalną nagrodę gospodarczą panu Glapińskiemu, za utrzymaniu stabilności bankowej.;Dariusz Klimczak;Kawa na ławę, 08.05.2022
Prawda;Dochody (Rosji – przyp. Demagog) z ropy naftowej są trzykrotnie wyższe niż dochody ze sprzedaży gazu.;Zbigniew Kuźmiuk;Sygnały dnia, 05.05.2022
Manipulacja;Ostatnie kilkanaście miesięcy i decyzja z roku 2020 (...), żeby przejść na ceny spotowe, czyli na ceny zakupów na giełdzie, od ceny długoterminowej wynegocjowanej przez Pawlaka, płaciliśmy Gazpromowi, Putinowi miliard dolarów miesięcznie więcej przez ostatnie miesiące.;Władysław Kosiniak-Kamysz;Onet Opinie, 27.04.2022
Prawda;Minister Jasiński podpisał bez czytania de facto zgodę na umowę (na dostawy gazu ze Wschodu w 2006 roku – przyp. Demagog).;Władysław Kosiniak-Kamysz;Onet Opinie, 27.04.2022
Częściowy fałsz;Tamtego rządu głównym pomysłem na bezpieczeństwo, tak to nazwijmy, energetyczne było przedłużenie umowy jamalskiej do 2037 roku. (...) Wtrąciła się Komisja Europejska i powiedziała, że przeginacie, że Waldemar Pawlak przesadza, i że przedłużenie kontraktu tak długie jest niedopuszczalne.;Radosław Fogiel;Woronicza 17, 01.05.2022
Prawda;46 proc. sektora bankowego (w Polsce – przyp. Demagog) jest w rękach państwa.;Borys Budka;Gość Radia ZET, 27.04.2022
Prawda;Węgry są jedynym krajem Unii Europejskiej, który odmawia (...) transportu broni (do Ukrainy – przyp. Demagog) przez ich kraj.;Barbara Nowacka;Kropka nad i, 25.04.2022
Prawda;Tak naprawdę własne zasoby gazu w Polsce wystarczyłyby dla zaspokojenia potrzeb gospodarstw domowych.;Izabela Leszczyna;Onet Opinie, 22.04.2022
Nieweryfikowalne;Generalnie, jak pokazują dane i szacunki, to najbardziej obciążone kredytami hipotecznymi, bo to między 20 a 30 proc., są te najzamożniejsze gospodarstwa domowe. A wśród tych najuboższych, najniżej sytuowanych Polaków tylko 5 proc. spłaca kredyty hipoteczne.;Gabriela Morawska-Stanecka;Wywiad Polityczny, 07.04.2022
Prawda;Według ich (ukraińskich – przyp. Demagog) danych w Polsce, czy na terytorium Polski, uczy się zdalnie 540 tys. dzieci z Ukrainy.;Tomasz Rzymkowski;Kwadrans polityczny, 25.04.2022
Fałsz;Po pierwsze, jest 51,25 proc. ludzi tylko zaszczepionych (przeciwko COVID-19 – przyp. Demagog). Po drugie, o czym przypominam, mniej więcej 100 osób codziennie umiera (w Polsce – przyp. Demagog), nadal.;Włodzimierz Czarzasty;Kawa na ławę, 24.04.2022
Prawda;Po pierwsze, system bankowy w Polsce, no, ma się nieźle. (...) Zysk w porównaniu do zeszłego roku to jest o 100 proc.;Adam Szłapka;Kawa na ławę, 24.04.2022
Fałsz;Magazyny gazu mamy pełne tylko w 60%, bo w listopadzie, jak USA poinformowało o zbliżającej się wojnie, nikt nie pomyślał, aby je napełnić.;Roman Giertych;Twitter, 26.04.2022
Fałsz;Dwa miesiące po wprowadzeniu sankcji wobec setek rosyjskich oligarchów przez UE, rząd PiS rozpoczął wprowadzanie tych sankcji. Rychło w czas.;Jan Grabiec;Twitter, 26.04.2022
Fałsz;Turcja oferowała uchodźcom syryjskim znacznie prostszą pomoc, po prostu obozy namiotowe i jedzenie. Tam nie było opieki zdrowotnej, tam nie było edukacji, oświaty dla dzieci syryjskich.;Adam Bielan;Poranna Rozmowa Gazeta.pl, 20.04.2022
Częściowy fałsz;Turcja, który przyjmowała uchodźców z Syrii, w czasie w znacznie dłuższym, tzn. tam nie było takiego tempa. Pierwszy milion uchodźców z Syrii pojawił się na terenie Turcji po 3 miesiącach od wybuchu konfliktu, u nas to był tydzień.;Adam Bielan;Poranna Rozmowa Gazeta.pl, 20.04.202
Prawda;W styczniu, kiedy jeszcze nie było wojny, pan prezes Glapiński wyszedł i poinformował wszystkich (...), że najwyższa inflacja będzie w czerwcu i powiedział zresztą, że to będzie ok. 8 proc. Okazało się, że już w styczniu inflacja była 9,2 proc.;Katarzyna Lubnauer;Rzecz o Polityce, 20.04.2022
Prawda;Polska jest liderem, (...) jeżeli chodzi o liczbę wydalonych dyplomatów rosyjskich. Jeżeli nie na pierwszym, to na drugim miejscu jesteśmy, jeśli chodzi właśnie o liczbę wyrzuconych dyplomatów. ;Michał Dworczyk;Gość Radia ZET, 21.04.2022
Prawda;FAO twierdzi inaczej. Najmniejsze gospodarstwa do 2 ha zajmują 12% światowych zasobów ziemi rolnej i dostarczają 1/3 światowej produkcji żywności. Może i nie są w stanie wyżywić świata ale go żywią. 1/8 ziemi, 1/3 żywności...;Janusz Wojciechowski;Twitter, 21.04.2022
Prawda;W ubiegłym roku NBP miał rekordowe zyski, ponad 11 mld zł, jakich nikt jeszcze, żaden prezes NBP-u, nie miał.;Jarosław Sellin;Kawa na ławę, 17.04.2022
Fałsz;Z tego, co pamiętam, (...) to chyba takie prawo (o obrazie uczuć religijnych – przyp. Demagog) obowiązuje tylko w Rosji i w państwach muzułmańskich.;Włodzimierz Czarzasty;Gość Radia Zet, 19.04.2022
Manipulacja;Trzeba przypominać, że myśmy cel inflacyjny grubo przekroczyli już na początku 2020 roku, przed pojawieniem się pierwszego przypadku koronawirusa w Polsce. Bo w lutym inflacja w Polsce, o czym już mało kto pamięta, dobijała do 5 proc. Dokładnie wyniosła 4,7 proc.;Paulina Hennig-Kloska;Rzecz o polityce, 19.04.2022
Częściowy fałsz;W 2016 roku (...) ten komponent rosyjskiej ropy to było prawie 80 proc. całej ropy, która trafia do Polski. To się zdecydowanie udało zmniejszyć (...) jest ok. połowy w tej chwili.;Jacek Sasin;Kwadrans polityczny, 30.03.2022
Manipulacja;Dwa razy (...) zablokowano rozpoczęcia inwestycji Baltic Pipe. Ja tylko przypomnę, że w 2001 roku zrobił to rząd Lewicy, po tym, jak rząd AWS-u przygotował ten kontrakt z Norwegami i Duńczykami. I po raz drugi zrobił to rząd PO-PSL.;Zbigniew Kuźmiuk;Woronicza 17, 03.04.2022
Fałsz;W ciągu roku (...) mamy 7,5 tys. godzin. I na te 7,5 tys. godzin (...) energetyka odnawialna zapewnia tylko moc w systemie na poziomie 2-2,5 tys. godzin.;Paweł Sałek;Woronicza 17, 03.04.2022
Fałsz;Wygląda na to, że Ukraińcy powtórzyli scenariusz (w Mariupolu – przyp. Demagog) szpitala położniczego w Kuwejcie z 1990 roku, który został całkowicie zainscenizowany przez firmę Hill & Knowlton za $10,7 mln, aby przekonać Radę Bezpieczeństwa ONZ do interwencji w Iraku w ramach operacji Pustynna Tarcza/Sztorm . ;Janusz Korwin-Mikke;Twitter, 06.04.2022
Manipulacja;Bułgaria ma dziś zatwierdzony plan odbudowy i dostanie 6,3 mld euro ! Dostanie chociaż kilka dni temu został aresztowany premier Bułgarii za korupcję! ;Bogdan Rzońca;Twitter, 7.04.2022 
Prawda;Pani Le Pen mówiła o tym, że NATO jest w ogóle fatalną organizacją, do której nikt nie powinien przystąpić. I na pewno w pierwszej kolejności, jeżeli ona zdobędzie tytuł pani prezydentki Francji, wycofa Francję z NATO. Też były przecież takie wywiady.;Joanna Scheuring-Wielgus;7. Dzień Tygodnia w Radiu ZET, 10.04.2022
Prawda;31 marca w Poznaniu wyły syreny na polecenie (...) prezydenta Jaśkowiaka, który dzisiaj mówi, że on z uwagi na wrażliwość ukraińskich uchodźców tych syren nie uruchomi. 10 dni temu, 31 marca, nie było Ukraińców w Poznaniu?;Radosław Fogiel;Śniadanie Rymanowskiego w Polsat News i Interii, 10.04.2022
Fałsz;Jeżeli chodzi o odbieranie odznaczeń, to taką żelazną zasadą jest u nas, że to się odbywa na podstawie decyzji sądu, że to musi niezależny organ orzec winę itd. (...) Wtedy pan prezydent pozbawia orderu czy odznaczeń. Mieliśmy do tej pory dwa takie przypadki, kiedy zostały właśnie wydane orzeczenia sądowe dotyczące winy takiej osoby i w ten sposób jest ona uznawana za niegodną.;Andrzej Dera;Salon Polityczny Trójki, 05.04.2022
Prawda;Opinia publiczna została poinformowana przez Brukselę, że system SWIFT został zdjęty ze stołu. A ja mówię – tylko 7 banków zostało objętych (...) odłączeniem od systemu SWIFT. A pozostałe banki, łącznie ze Sbierbankiem, z Gazprombankiem? Nie, nadal funkcjonują. I tak naprawdę mogą sobie omijać te blokady.;Marcin Przydacz;Kwadrans polityczny, 04.04.2022
Prawda;Codziennie na Ukrainie co 6 godzin ginie dziecko, co 3 godziny dziecko jest ranne.;Bożena Żelazowska;Woronicza 17, 03.04.2022
Prawda;Nasi poprzednicy ani złotówki (...) nie zwiększyli wynagrodzeń dla sfery budżetowej. Ten punkt bazowy dla pracowników służby cywilnej nie drgnął za czasów rządów pana Donalda Tuska.;Artur Soboń;Gość Radia Zet, 04.04.2022
Manipulacja;Polskie społeczeństwo jest w dziewięćdziesięciu kilku procentach proukraińskie, antyrosyjskie. W odróżnieniu np. od społeczeństwa francuskiego, gdzie tam chyba (...) 52 proc. uważa, że Rosja ma rację. (...) W Niemczech była zdaje się większość albo blisko połowy społeczeństwa, która uważała, że Ukrainie nie należy pomagać, nie przekazywać uzbrojenia. ;Krzysztof Bosak;Onet Opinie, 30.03.2022
Fałsz;Za uzależnienie energetyki i gospodarki Węgier od Rosji odpowiadają dzisiejsi rywale Viktora Orbana. Trzymam kciuki za zwycięstwo wyborcze Fideszu.;Zbigniew Ziobro;Twitter, 3.04.2022
Prawda;Ja zresztą apelowałem (...), żeby rząd, ponieważ jest właścicielem największej spółki (...) paliwowej w Polsce, czyli PKN Orlen, spowodował, że PKN Orlen nie będzie kupował rosyjskiej ropy, bo Polska jest drugim co do wielkości importerem rosyjskiej ropy w Unii Europejskiej, drugim co do wielkości.;Władysław Teofil Bartoszewski;Poranek Radia TOK FM, 22.03.2022
Fałsz;95-96 proc. rosyjskiej ropy trafia do Europy dzięki tankowcom, a nie dzięki rurociągom. ;Włodzimierz Cimoszewicz;Wywiad Polityczny, 23.03.2022
Prawda;My w 70 proc. importujemy ropę właśnie z tego kierunku (z Rosji – przyp. Demagog).;Paweł Zalewski;Rzecz o Polityce, 21.03.2022
Prawda;Konsumujemy go dużo, 40 proc. konsumpcji gazu w Europie to gaz rosyjski i nie daje się go łatwo zastąpić. (...) My (Unia Europejska – przyp. Demagog) importujemy jakieś 150 mld m3 gazu z Rosji.;Włodzimierz Cimoszewicz;Wywiad Polityczny, 23.03.2022
Fałsz;Gdyby Ukraina nie prowadziła polityki wrogiej, kwestionując bezpieczeństwo Rosji, tak by nie było. (...) ostrzeliwała codziennie Donbas, Donieck, Ługańsk, gdzie są nasi ludzie (...). I gdyby nie rozpoczęła się „specjalna operacja wojskowa” Rosji, za tydzień czy dwa byłoby tak samo, bo wojsko ukraińskie wtargnęłoby na Donbas.;Siergiej Andriejew;Briefing prasowy, 23.03.2022
Fałsz;My (Rosjanie – przyp. Demagog) stosujemy broń wysoko precyzyjną i wyłącznie przeciwko celom militarnym. (...) Robimy wszystko, co możliwe, żeby oszczędzać życie cywilów.;Siergiej Andriejew;Briefing prasowy, 23.03.2022
Fałsz;Jak na Mariupolu, gdzie ten szpital porodowy niby był zbombardowany przez Rosję. Okazało się, że dawno nie ma tam ani lekarzy, ani kobiet, ani dzieci, ale były pozycje batalionów nazistowskich.;Siergiej Andriejew;Briefing prasowy, 23.03.2022
Fałsz;W obecnych warunkach rozprzestrzenianie fejków jest karalne (w Rosji – przyp. Demagog).;Siergiej Andriejew;Briefing prasowy, 23.03.2022
Prawda;Z terenu Białorusi prowadzone są działania wojenne. Wystrzeliwane są rakiety (rosyjskie – przyp. Demagog), wojska lądowe swobodnie poruszają się po terenie Białorusi i właśnie z tego kraju atakują pozycje ukraińskie. Natomiast jednostki lądowe białoruskie nie były do tej pory zaangażowane w konflikt.;Michał Dworczyk;Graffiti, 23.03.2022
Manipulacja;Pfizer ogłosił, że nie wycofa się z Rosji. Niektórzy mogą mieć teraz spory dylemat.;Konrad Berkowicz;Twitter, 18.03.2022
Nieweryfikowalne;Średnia wieku polskich rezerwistów jest powyżej 50. roku życia.;Krzysztof Bosak;Śniadanie Rymanowskiego w Polsat News i Interii, 13.03.2021
Manipulacja;Misja pokojowa w Kosowie to jest właśnie ten przykład, kiedy to Sojusz Północnoatlantycki wprowadził właśnie taką misję, misję pokojową. O tym właśnie mówił pan premier Jarosław Kaczyński w Kijowie. W tej misji pokojowej brali i biorą udział wciąż żołnierze polscy.;Mariusz Błaszczak;Gość Wiadomości, 18.03.2022
Prawda;Od 2013 Xi Jinping z Putinem spotkali się 37 razy.;Piotr Zgorzelski;Kawa na ławę, 20.03.2022
Częściowy fałsz;To jest bardzo dobre! W czasie gdy MS był @bbudka Polska miała na koncie aż 576 niewykonanych wyroków ETPCz. W czasie gdy MS ponownie został @ZiobroPL liczba niewykonanych wyroków przez Polskę spadła do 98.;Sebastian Kaleta;Twitter, 11.03.2022
Fałsz;Przypominam, że są kraje w Europie Zachodniej, które mają uchwały parlamentu, jak np. Holandia, które zobowiązują rząd holenderski, żeby pod żadnym pozorem Ukrainy do Unii nie wpuścić.;Witold Waszczykowski;Gość Wydarzeń, 12.03.2022
Fałsz;»Wspólnie z partnerami z Unii Europejskiej zdecydowaliśmy wczoraj, że zamykamy wszystkie banki rosyjskie, wyłączymy im system SWIFT « – powiedział w niedzielę w Bundestagu kanclerz Niemiec Olaf Scholz. I co? I okazało się to kłamstwem.;Zbigniew Ziobro;Gość Krzysztofa Ziemca w RMF 24, 12.03.2022
Prawda;Tak jak ma to miejsce w stosunku do wszystkich cudzoziemców w Polsce, mogą oni (dzieci uchodźców z Ukrainy – przyp. Demagog) realizować w Polsce obowiązek szkolny, który również jest obowiązkiem funkcjonującym w Ukrainie. Oznacza to, że realizacja obowiązku szkolnego w Polsce konsumuje ich obowiązek szkolny w Ukrainie.;Tomasz Rzymkowski; Kwadrans polityczny, 08.03.2022
Fałsz;Polski eksport jest większy od eksportu rosyjskiego, nawet wliczając rosyjskie surowce naturalne.;Michał Kamiński;Maciej Zakrocki przedstawia, 02.03.2022
Prawda;17 proc. żołnierzy Ukrainy to są kobiety, warto też odnotować.;Anna Maria Żukowska;Woronicza 17, 27.02.2022
Nieweryfikowalne;Dziś już ofiary po stronie armii (...) rosyjskiej są na poziomie tej, którą poniosła armia radziecka w Afganistanie. Tylko że tamta wojna trwała 10 lat, a tu 10 dni.;Wojciech Skurkiewicz;Śniadanie Rymanowskiego, 06.03.2022
Częściowy fałsz;Przez ostatnie 20 lat (...) Polska wydała 733 mld zł, zapłaciła Rosji za gaz za ropę i za węgiel.;Rafał Trzaskowski;Tak jest, 23.02.2022
Częściowy fałsz;Otóż od 2015 r. przybyło ponad 1,5 GW mocy zainstalowanej w wietrze na lądzie, dzisiaj jest to moc ponad 7 GW mocy zainstalowanej. A trzeba powiedzieć, że w aukcjach OZE, które odbyły się w ostatnich 3 latach, zakontraktowaliśmy kolejne blisko 5 GW i one zostaną wybudowane.;Ireneusz Zyska;Posiedzenie Sejmu, 26.01.2022
Prawda;Premier Bielecki jako pierwszy premier na świecie uznał niepodległe państwo ukraińskie.;Donald Tusk;Rozmowa Piaseckiego, 23.02.2022
Prawda;Przypomnę, że kilka lat temu Komisja Europejska umorzyła śledztwo wobec Gazpromu, nie stosując wysokich kar, do których miała prawo.;Adam Bielan;Kwadrans polityczny, 24.02.2022
Prawda;Od 2020, od tego kryzysu powyborczego na Białorusi, (...) która jest, no kilkukrotnie mniejsza niż Ukraina, Polska wydała prawie 250 tys. wiz dla Białorusinów, (...) którzy z różnych powodów chcieli wyjechać ze swojego kraju.;Marcin Przydacz;Gość Radia ZET, 16.02.2022
Prawda;Ilość węgla kupowanego z Rosji przez ostatnie 7 lat wzrosła, a nie zmalała.;Marek Sawicki;Gość Wiadomości, 11.02.2022
Prawda;Putin w ostatnich latach zbroił się nie tylko militarnie, ale również finansowo. Zgromadził potężne zasoby walutowe – ponad 600 mld dolarów.;Adam Bielan;Kwadrans polityczny, 24.02.2022
Prawda;Panie redaktorze, mógłbym zacytować wypowiedzi, pan również może sięgnąć do archiwalnych wypowiedzi pana premiera Morawieckiego, który zapewniał, i pana Szymańskiego, że ani jeden eurocent nie będzie zablokowany, ani jedno euro.;Zbigniew Ziobro;Graffiti, 17.02.2022
Częściowy fałsz;Energetyka, która stanowi 1⁄3 rosyjskiej gospodarki i połowę wpływów z eksportu.;Hanna Gill-Piątek;Woronicza 17, 13.02.2022
Fałsz;46 tys. polskich firm się zamknęło jednoosobowych przez ostatnie 2 lata.;Marta Wcisło;Tak jest, 08.02.2022
Fałsz;Dziesiątki tysięcy ludzi wyleczonych Amantadyną, dzięki takiemu leczeniu żyją, a Oni twierdzą że badania nie potwierdzają.;Rafał Piech;Twitter, 11.02.2022
Prawda;A tymczasem poziom wymiany gospodarczej Niemiec z Rosją jest mniejszy niż wymiany gospodarczej Niemiec z Polską.;Andrzej Zybertowicz;Poranek Radia TOK FM, 15.02.2022
Prawda;Według danych samego Gazpromu firma w 2020 roku dostarczyła do Europy 174,9 mld m3 gazu. A to znaczy, że łączna przepustowość wszystkich gazociągów biegnących z Rosji do Europy już teraz, bez NS2, jest wyższa niż ilość eksportowanego przez Rosję gazu! Tylko przez terytorium Ukrainy Rosjanie mogliby przesyłać ponad 145 mld m3 rocznie. ;Radosław Sikorski;Facebook, 11.02.2022
Prawda;Przepustowość Nord Stream 1 i 2 może wynosić łącznie 110 mld m3 rocznie. Jest więc oczywiste, że po jego uruchomieniu Rosjanie będą mogli dalej zmniejszać tranzyt przez terytorium Ukrainy. Tym bardziej, że w roku 2024 wygasa pięcioletnia umowa zawarta pomiędzy spółkami Naftohaz i Gazprom. Zobowiązuje ona Gazprom do przesyłania przez terytorium Ukrainy 65 mld m3 gazu w pierwszym roku i po 40 mld m3 rocznie w kolejnych latach. Co będzie potem? Nie wiadomo.;Radosław Sikorski;Facebook, 11.02.2022
Manipulacja;Likwidacja polskiej armii (za rządów Platformy Obywatelskiej – przyp. Demagog), no zmniejszenie do mniej niż 60 tys. (liczby żołnierzy – przyp. Demagog), przeznaczanie mniej niż 2 proc. (PKB – przyp. Demagog) na armię.;Marek Suski;Woronicza 17, 06.02.2021
Fałsz;Likwidacja polskiej armii (za rządów Platformy Obywatelskiej – przyp. Demagog), no zmniejszenie do mniej niż 60 tys. (liczby żołnierzy – przyp. Demagog), przeznaczanie mniej niż 2 proc. (PKB – przyp. Demagog) na armię.;Marek Suski;Woronicza 17, 06.02.2021
Prawda;No i powiedzmy o tym alkoholu. Według różnych badań alkohol powoduje co 10 sekund śmierć.;Konrad Berkowicz;Posiedzenie Sejmu, 08.02.2022
Manipulacja;Platforma robiła różnego rodzaju rzeczy jeszcze gorsze. (...) chociażby to, jak powoływano szefa Narodowego Banku. Jednego dnia był posłem, drugiego dnia został szefem Banku. I to wtedy apolityczny szef mógł być i nie było problemu, a teraz jest jakiś wielki problem, bo prokurator (...) prawnik zostaje członkiem Trybunału Konstytucyjnego. (...) Ja mówię o Balcerowiczu.;Marek Suski;Poranna Rozmowa w RMF FM, 11.02.2022
Prawda;Finansowy rynek Rosji jest w tej chwili zdominowany (...) w 55 proc, przez 4 główne banki. ;Hanna Gill-Piątek;Woronicza 17, 11.02.2022
Prawda;Ukraina jest dla Polski bardzo ważnym partnerem gospodarczym, czwartym co do wielkości, jako kraj spoza Unii, który jest odbiorcą naszego eksportu.;Urszula Pasławska;Kawa na ławę, 13.02.2022
Nieweryfikowalne;Węgiel z Rosji nie jest wykorzystywany do elektrowni systemowych, tylko ewentualnie w indywidualnych gospodarstwach.;Kazimierz Smoliński;Gość Wiadomości, 17.01.2022
Manipulacja;Na rynku pracy osoby z niepełnosprawnościami w Polsce, w naszym kraju, mają się najgorzej w Europie. Tylko ok. 1⁄3 takich osób pracuje, a w Europie to jest ponad połowa.;Michał Gramatyka;Posiedzenie Sejmu, 09.02.2022
Prawda;Na dworcach faktycznie nie wolno sprzedawać alkoholu. Ale na lotniskach już tak.;Robert Kwiatkowski;Twitter, 06.02.2022
Fałsz;Ceny prądu, 60 proc., to cena polityki klimatycznej, czyli ten podatek ETS, który został zaakceptowany przez panią premier Ewę Kopacz.;Jacek Ozdoba;Woronicza 17, 06.02.2022
Manipulacja;Krym się odłączył od Ukrainy i przyłączył do Rosji (...) wolą 90 proc. ludności.;Janusz Korwin-Mikke;Woronicza 17, 06.02.2022
Prawda;Chciałam państwu powiedzieć, że WHO mówi, że w tym programie COVAX, czyli w tym programie, który mówi o wyszczepieniu całej populacji światowej, czyli dostarczeniu populacji na świecie szczepionek tam, gdzie po prostu ludzi na nie nie stać, brakuje w tej chwili 5 mld dolarów do tego, żeby ten program został zrealizowany.;Joanna Mucha;Kawa na ławę, 30.01.2022
Prawda;Temat tabu: samobójstwa wśród seniorów. Przez ostatnie 3 lata średnio samobójstwo popełniło ok. 1600 osób rocznie w wieku powyżej 60 roku życia.;Anna Wojciechowska;Twitter, 01.02.2022
Fałsz;Przecież teraz wiemy, że szczepienia nie chronią przed zakażeniem, nie chronią przed zachorowaniem, nie chronią przed transmisją ani przed śmiercią. Umierają zarówno zaszczepieni, jak i niezaszczepieni. Chorują zaszczepieni i niezaszczepieni. A więc dlaczego chcemy wchodzić w rozwiązania, które się nie sprawdziły?;Maria Kurowska;Posiedzenie Sejmu, 01.02.2022
Prawda;Dzięki rządowej tarczy antyinflacyjnej mamy najniższy VAT na paliwa w UE. Na stacjach @PKN_ORLEN efekty tych zamian widać już dzisiaj. Liczymy na to, że pozostali gracze rynkowi również wpiszą się w ten trend;Daniel Obajtek;Twitter, 01.02.2022
Manipulacja;(...) do tej pory jesteśmy na ostatnim miejscu w Europie, jeżeli chodzi o ilość testów na milion mieszkańców, i na 99. miejscu na świecie pod względem ilości testów na milion mieszkańców.;Marek Hok;Posiedzenie Sejmu, 01.02.2022
Prawda;Osoby niezaszczepione w Polsce, 60 parę proc. z nich, boi się szczepionek.;Joanna Mucha;Kawa na ławę, 30.01.2022
Manipulacja;Mówi pan (Przemysław Czarnek – przyp. Demagog) o pomocy psychologicznej ministerstwa edukacji. Panie ministrze, przeznacza pan 3 zł na ucznia na pomoc psychologiczną. Za 3 zł nie wyciągnie się dziecka z depresji, za 3 zł nie uratuje się go przed próbą samobójczą (...) albo pozbawieniem się życia.;Agnieszka Dziemianowicz-Bąk;46. Posiedzenie Sejmu RP, 12.01.2022
Fałsz;Nasz klin (podatkowy – przyp. Demagog) jest wysoki. (...) Większość państw europejskich ma ten klin niższy.;Izabela Leszczyna;Poranek Radia TOK FM, 31.01.2022
Nieweryfikowalne;Dziś można zauważyć, pewne pozytywne tendencje, np. to, że w końcu, po wielu latach, większa liczba Polaków wraca do naszej ojczyzny niż z niej wyjeżdża.;Mateusz Morawiecki;Facebook, 27.01.2022
Częściowy fałsz;Zaostrzenie konfliktu na Ukrainie stanowi potencjalne zagrożenie dla miejscowych polskich inwestycji. Według danych Narodowego Banku Ukrainy w 2020 r. wyniosły one 129,3 mln dolarów, czyniąc Polskę ósmym największym inwestorem w tym kraju.;Janusz Piechociński;Twitter, 27.01.2022
