assestment;text_clean;sentiment_all;sentiment_avg;uniq_words;uniq_lemm;err;net;ADJ;ADV;NOUN;e0;e1;e2;e3;e4
Manipulacja;Trzeba przypominać, że myśmy cel inflacyjny grubo przekroczyli już na początku 2020 roku, przed pojawieniem się pierwszego przypadku koronawirusa w Polsce. Bo w lutym inflacja w Polsce, o czym już mało kto pamięta, dobijała do 5 proc. Dokładnie wyniosła 4,7 proc.;-0.0089954901486635;-0.0089954901486635;36.0;36.0;2.0;6.0;0.1388888888888889;0.0555555555555555;0.1944444444444444;-2.0343645;10.6226425;11.623927;16.749603;5.7559648
Częściowy fałsz;W 2016 roku  ten komponent rosyjskiej ropy to było prawie 80 proc. całej ropy, która trafia do Polski. To się zdecydowanie udało zmniejszyć  jest ok. połowy w tej chwili.;-0.0089954901486635;-0.1104457909241318;28.0;24.0;0.0;3.0;0.1071428571428571;0.0714285714285714;0.25;-1.7980782;10.80039;11.516915;15.739006;5.540107
Manipulacja;Dwa razy  zablokowano rozpoczęcia inwestycji Baltic Pipe. Ja tylko przypomnę, że w 2001 roku zrobił to rząd Lewicy, po tym, jak rząd AWS-u przygotował ten kontrakt z Norwegami i Duńczykami. I po raz drugi zrobił to rząd PO-PSL.;-0.1896650344133377;-0.3480024188756943;36.0;33.0;2.0;6.0;0.1111111111111111;0.0;0.2222222222222222;-0.25106508;10.92603;11.102258;18.37642;4.5908513
Fałsz;W ciągu roku  mamy 7,5 tys. godzin. I na te 7,5 tys. godzin  energetyka odnawialna zapewnia tylko moc w systemie na poziomie 2-2,5 tys. godzin.;-0.0089954901486635;-0.0089954901486635;20.0;19.0;0.0;0.0;0.1;0.0;0.4;-1.4866443;11.217876;11.271365;15.512236;5.3966837
Fałsz;Wygląda na to, że Ukraińcy powtórzyli scenariusz w Mariupolu szpitala położniczego w Kuwejcie z 1990 roku, który został całkowicie zainscenizowany przez firmę Hill & Knowlton za $10,7 mln, aby przekonać Radę Bezpieczeństwa ONZ do interwencji w Iraku w ramach operacji Pustynna Tarcza/Sztorm . ;-0.0089954901486635;-0.0089954901486635;40.0;40.0;4.0;6.0;0.1;0.05;0.3;0.12634285;10.632548;10.010232;17.150242;4.966153
Manipulacja;Bułgaria ma dziś zatwierdzony plan odbudowy i dostanie 6,3 mld euro ! Dostanie chociaż kilka dni temu został aresztowany premier Bułgarii za korupcję! ;-0.3815149664878845;-0.3721426511183381;22.0;21.0;1.0;2.0;0.0909090909090909;0.0454545454545454;0.3181818181818182;0.23552223;10.503809;10.441096;16.991402;5.235553
Prawda;Pani Le Pen mówiła o tym, że NATO jest w ogóle fatalną organizacją, do której nikt nie powinien przystąpić. I na pewno w pierwszej kolejności, jeżeli ona zdobędzie tytuł pani prezydentki Francji, wycofa Francję z NATO. Też były przecież takie wywiady.;-0.0165463928133249;-0.0539112569143374;39.0;37.0;3.0;5.0;0.1025641025641025;0.0256410256410256;0.2051282051282051;-0.4345502;11.125312;10.144297;17.984879;4.4046636
Prawda;31 marca w Poznaniu wyły syreny na polecenie  prezydenta Jaśkowiaka, który dzisiaj mówi, że on z uwagi na wrażliwość ukraińskich uchodźców tych syren nie uruchomi. 10 dni temu, 31 marca, nie było Ukraińców w Poznaniu?;-0.0168421063572168;-0.1260696360841393;29.0;29.0;4.0;6.0;0.1379310344827586;0.0344827586206896;0.3448275862068966;-1.2214649;10.829333;10.182858;17.089844;5.177424
Fałsz;Jeżeli chodzi o odbieranie odznaczeń, to taką żelazną zasadą jest u nas, że to się odbywa na podstawie decyzji sądu, że to musi niezależny organ orzec winę itd.  Wtedy pan prezydent pozbawia orderu czy odznaczeń. Mieliśmy do tej pory dwa takie przypadki, kiedy zostały właśnie wydane orzeczenia sądowe dotyczące winy takiej osoby i w ten sposób jest ona uznawana za niegodną.;-0.3240074217319488;-0.2895802954832713;56.0;54.0;4.0;4.0;0.1607142857142857;0.0714285714285714;0.3214285714285714;-0.63344395;11.939511;9.940422;18.495493;4.831986
Prawda;Opinia publiczna została poinformowana przez Brukselę, że system SWIFT został zdjęty ze stołu. A ja mówię – tylko 7 banków zostało objętych  odłączeniem od systemu SWIFT. A pozostałe banki, łącznie ze Sbierbankiem, z Gazprombankiem? Nie, nadal funkcjonują. I tak naprawdę mogą sobie omijać te blokady.;-0.2254829406738281;-0.3194245025515556;41.0;37.0;4.0;2.0;0.2195121951219512;0.048780487804878;0.2439024390243902;-0.521473;11.068429;10.546429;17.396889;4.8968673
Prawda;Codziennie na Ukrainie co 6 godzin ginie dziecko, co 3 godziny dziecko jest ranne.;-0.6157815456390381;-0.6157815456390381;12.0;11.0;0.0;1.0;0.0833333333333333;0.0833333333333333;0.3333333333333333;-1.5466163;11.2058325;9.498914;15.810271;7.39963
Prawda;Nasi poprzednicy ani złotówki  nie zwiększyli wynagrodzeń dla sfery budżetowej. Ten punkt bazowy dla pracowników służby cywilnej nie drgnął za czasów rządów pana Donalda Tuska.;-0.0117232585325837;-0.1244418397545814;22.0;22.0;5.0;1.0;0.1363636363636363;0.0;0.2272727272727272;-1.5330293;10.994826;12.033888;16.693684;6.1773357
Manipulacja;Polskie społeczeństwo jest w dziewięćdziesięciu kilku procentach proukraińskie, antyrosyjskie. W odróżnieniu np. od społeczeństwa francuskiego, gdzie tam chyba  52 proc. uważa, że Rosja ma rację.  W Niemczech była zdaje się większość albo blisko połowy społeczeństwa, która uważała, że Ukrainie nie należy pomagać, nie przekazywać uzbrojenia. ;-0.0997296944260597;-0.1600741396347681;41.0;37.0;9.0;6.0;0.1219512195121951;0.0975609756097561;0.2682926829268293;-1.2129632;11.033889;9.824575;17.606808;5.068957
Fałsz;Za uzależnienie energetyki i gospodarki Węgier od Rosji odpowiadają dzisiejsi rywale Viktora Orbana. Trzymam kciuki za zwycięstwo wyborcze Fideszu.;-0.0716163739562034;-0.0196601245552301;19.0;18.0;2.0;4.0;0.1052631578947368;0.0;0.4210526315789473;0.026170064;10.150536;10.118691;17.03886;5.5089817
Prawda;Ja zresztą apelowałem , żeby rząd, ponieważ jest właścicielem największej spółki  paliwowej w Polsce, czyli PKN Orlen, spowodował, że PKN Orlen nie będzie kupował rosyjskiej ropy, bo Polska jest drugim co do wielkości importerem rosyjskiej ropy w Unii Europejskiej, drugim co do wielkości.;-0.0089954901486635;-0.0089954901486635;32.0;31.0;7.0;7.0;0.25;0.0;0.28125;-1.2050724;11.101073;11.011192;17.308876;4.590496
Fałsz;95-96 proc. rosyjskiej ropy trafia do Europy dzięki tankowcom, a nie dzięki rurociągom. ;-0.0089954901486635;-0.0089954901486635;13.0;13.0;2.0;2.0;0.1538461538461538;0.0;0.2307692307692307;-0.9361376;10.602127;10.9393425;14.464577;5.7382307
Prawda;My w 70 proc. importujemy ropę właśnie z tego kierunku z Rosji.;-0.0089954901486635;-0.0089954901486635;11.0;11.0;2.0;1.0;0.0;0.0909090909090909;0.1818181818181818;-0.86406434;10.604536;10.974462;14.485255;5.864972
Prawda;Konsumujemy go dużo, 40 proc. konsumpcji gazu w Europie to gaz rosyjski i nie daje się go łatwo zastąpić. ... My Unia Europejska importujemy jakieś 150 mld m3 gazu z Rosji.;-0.0191891882568597;-0.1615579177935918;28.0;27.0;3.0;4.0;0.0714285714285714;0.1071428571428571;0.1785714285714285;-1.0602558;10.667828;11.047947;14.752241;5.5107155
Fałsz;Gdyby Ukraina nie prowadziła polityki wrogiej, kwestionując bezpieczeństwo Rosji, tak by nie było.  ostrzeliwała codziennie Donbas, Donieck, Ługańsk, gdzie są nasi ludzie . I gdyby nie rozpoczęła się „specjalna operacja wojskowa” Rosji, za tydzień czy dwa byłoby tak samo, bo wojsko ukraińskie wtargnęłoby na Donbas.;-0.1331712156534195;-0.2079545098046461;39.0;38.0;5.0;7.0;0.1282051282051282;0.1282051282051282;0.1794871794871795;-0.86820203;10.6804;10.3982;17.456219;4.445321
Fałsz;My Rosjanie stosujemy broń wysoko precyzyjną i wyłącznie przeciwko celom militarnym. ... Robimy wszystko, co możliwe, żeby oszczędzać życie cywilów.;0.0046077389270067;-0.070682443678379;19.0;19.0;4.0;1.0;0.1052631578947368;0.1578947368421052;0.1578947368421052;-0.16888258;10.405716;9.860529;16.69015;5.1093154
Fałsz;Jak na Mariupolu, gdzie ten szpital porodowy niby był zbombardowany przez Rosję. Okazało się, że dawno nie ma tam ani lekarzy, ani kobiet, ani dzieci, ale były pozycje batalionów nazistowskich.;-0.4600299596786499;-0.3336592279374599;28.0;27.0;1.0;3.0;0.1428571428571428;0.1428571428571428;0.1785714285714285;-0.34078744;10.482385;10.111684;17.281511;5.214287
Fałsz;W obecnych warunkach rozprzestrzenianie fejków jest karalne w Rosji.;-0.0559458397328853;-0.0559458397328853;9.0;8.0;1.0;1.0;0.2222222222222222;0.0;0.3333333333333333;-0.56789863;11.387563;9.151419;16.5933;5.661076
Prawda;Z terenu Białorusi prowadzone są działania wojenne. Wystrzeliwane są rakiety rosyjskie, wojska lądowe swobodnie poruszają się po terenie Białorusi i właśnie z tego kraju atakują pozycje ukraińskie. Natomiast jednostki lądowe białoruskie nie były do tej pory zaangażowane w konflikt.;-0.0089954901486635;-0.0528920454283555;36.0;33.0;2.0;4.0;0.25;0.0555555555555555;0.3611111111111111;-0.47275352;10.460138;10.017666;16.765537;4.8205795
Manipulacja;Pfizer ogłosił, że nie wycofa się z Rosji. Niektórzy mogą mieć teraz spory dylemat.;-0.0089954901486635;-0.1764732226729393;14.0;14.0;1.0;3.0;0.1428571428571428;0.0714285714285714;0.1428571428571428;0.56912655;10.486453;9.850842;17.402945;5.5151567
Nieweryfikowalne;Średnia wieku polskich rezerwistów jest powyżej 50. roku życia.;-0.040320985019207;-0.040320985019207;9.0;9.0;3.0;1.0;0.1111111111111111;0.0;0.4444444444444444;-1.2759559;11.27995;10.000815;16.210985;7.190424
Manipulacja;Misja pokojowa w Kosowie to jest właśnie ten przykład, kiedy to Sojusz Północnoatlantycki wprowadził właśnie taką misję, misję pokojową. O tym właśnie mówił pan premier Jarosław Kaczyński w Kijowie. W tej misji pokojowej brali i biorą udział wciąż żołnierze polscy.;-0.0089954901486635;-0.0089954901486635;35.0;31.0;4.0;5.0;0.1142857142857142;0.0571428571428571;0.3142857142857143;-0.70773906;10.7008;10.755096;17.888472;4.4639454
Prawda;Od 2013 Xi Jinping z Putinem spotkali się 37 razy.;-0.1961722671985626;-0.1961722671985626;10.0;10.0;0.0;3.0;0.1;0.1;0.1;0.56792575;10.324482;10.158278;17.93168;5.110621
Częściowy fałsz;To jest bardzo dobre! W czasie gdy MS był  Polska miała na koncie aż 576 niewykonanych wyroków ETPCz. W czasie gdy MS ponownie został  liczba niewykonanych wyroków przez Polskę spadła do 98.;-0.3933790326118469;0.1393668303887049;26.0;26.0;3.0;3.0;0.1538461538461538;0.1923076923076923;0.2307692307692307;-1.2462759;11.068063;10.352474;16.787588;6.4118676
Fałsz;Przypominam, że są kraje w Europie Zachodniej, które mają uchwały parlamentu, jak np. Holandia, które zobowiązują rząd holenderski, żeby pod żadnym pozorem Ukrainy do Unii nie wpuścić.;-0.0866262838244438;-0.0866262838244438;26.0;26.0;2.0;5.0;0.1538461538461538;0.0384615384615384;0.3846153846153846;-0.25775596;11.435709;9.70025;18.021404;4.536501
Fałsz;»Wspólnie z partnerami z Unii Europejskiej zdecydowaliśmy wczoraj, że zamykamy wszystkie banki rosyjskie, wyłączymy im system SWIFT « – powiedział w niedzielę w Bundestagu kanclerz Niemiec Olaf Scholz. I co? I okazało się to kłamstwem.;-0.0089954901486635;-0.3466512219359477;30.0;30.0;4.0;6.0;0.1;0.1;0.2333333333333333;0.11503828;10.832884;10.211207;17.45201;4.6597443
Prawda;Tak jak ma to miejsce w stosunku do wszystkich cudzoziemców w Polsce, mogą oni dzieci uchodźców z Ukrainy realizować w Polsce obowiązek szkolny, który również jest obowiązkiem funkcjonującym w Ukrainie. Oznacza to, że realizacja obowiązku szkolnego w Polsce konsumuje ich obowiązek szkolny w Ukrainie.;-0.0089954901486635;-0.0089954901486635;33.0;30.0;7.0;7.0;0.2424242424242424;0.0303030303030303;0.1818181818181818;-1.0130212;11.787264;9.652777;17.825415;5.029389
Fałsz;Polski eksport jest większy od eksportu rosyjskiego, nawet wliczając rosyjskie surowce naturalne.;-0.0164043959230184;-0.0164043959230184;12.0;10.0;1.0;3.0;0.3333333333333333;0.0;0.3333333333333333;-1.1044247;10.283226;10.642878;14.985457;5.397656
Prawda;17 proc. żołnierzy Ukrainy to są kobiety, warto też odnotować.;-0.049719464033842;-0.049719464033842;10.0;10.0;2.0;1.0;0.1;0.0;0.2;-1.6353794;11.332646;10.025989;15.491932;6.7179804
Nieweryfikowalne;Dziś już ofiary po stronie armii  rosyjskiej są na poziomie tej, którą poniosła armia radziecka w Afganistanie. Tylko że tamta wojna trwała 10 lat, a tu 10 dni.;-0.2336687445640564;-0.3042037859559059;27.0;26.0;0.0;2.0;0.1481481481481481;0.037037037037037;0.3333333333333333;-0.24238016;10.287447;9.934552;16.736675;5.1490173
Częściowy fałsz;Przez ostatnie 20 lat  Polska wydała 733 mld zł, zapłaciła Rosji za gaz za ropę i za węgiel.;-0.1106293275952339;-0.1106293275952339;16.0;16.0;0.0;2.0;0.0625;0.0;0.1875;-1.0877979;10.970371;11.407932;15.14513;5.3355203
Częściowy fałsz;Otóż od 2015 r. przybyło ponad 1,5 GW mocy zainstalowanej w wietrze na lądzie, dzisiaj jest to moc ponad 7 GW mocy zainstalowanej. A trzeba powiedzieć, że w aukcjach OZE, które odbyły się w ostatnich 3 latach, zakontraktowaliśmy kolejne blisko 5 GW i one zostaną wybudowane.;-0.0089954901486635;-0.0089954901486635;39.0;37.0;2.0;2.0;0.2307692307692307;0.0512820512820512;0.2307692307692307;-1.401454;11.234225;11.492666;15.695339;5.3295507
Prawda;Premier Bielecki jako pierwszy premier na świecie uznał niepodległe państwo ukraińskie.;-0.1219854950904846;-0.1219854950904846;11.0;10.0;0.0;1.0;0.2727272727272727;0.0;0.3636363636363636;0.3866239;10.297151;9.930786;17.163715;4.947683
Prawda;Przypomnę, że kilka lat temu Komisja Europejska umorzyła śledztwo wobec Gazpromu, nie stosując wysokich kar, do których miała prawo.;-0.2828957736492157;-0.2427016263827681;19.0;19.0;2.0;2.0;0.1578947368421052;0.0;0.3157894736842105;0.17960384;11.0804;10.283176;18.118189;4.789482
Prawda;Od 2020, od tego kryzysu powyborczego na Białorusi,  która jest, no kilkukrotnie mniejsza niż Ukraina, Polska wydała prawie 250 tys. wiz dla Białorusinów,  którzy z różnych powodów chcieli wyjechać ze swojego kraju.;-0.0089954901486635;-0.0089954901486635;32.0;30.0;3.0;4.0;0.125;0.03125;0.1875;-1.3157711;10.82687;10.086271;16.917156;5.313456
Prawda;Ilość węgla kupowanego z Rosji przez ostatnie 7 lat wzrosła, a nie zmalała.;-0.0089954901486635;-0.0089954901486635;13.0;13.0;1.0;1.0;0.1538461538461538;0.0;0.2307692307692307;-1.404328;10.225303;11.705768;15.659527;6.686963
Prawda;Putin w ostatnich latach zbroił się nie tylko militarnie, ale również finansowo. Zgromadził potężne zasoby walutowe – ponad 600 mld dolarów.;-0.0089954901486635;-0.0089954901486635;20.0;20.0;2.0;1.0;0.15;0.15;0.15;-0.55063725;10.245617;10.229533;16.294054;5.2341146
Prawda;Panie redaktorze, mógłbym zacytować wypowiedzi, pan również może sięgnąć do archiwalnych wypowiedzi pana premiera Morawieckiego, który zapewniał, i pana Szymańskiego, że ani jeden eurocent nie będzie zablokowany, ani jedno euro.;-0.1272027194499969;-0.1272027194499969;27.0;24.0;4.0;2.0;0.2962962962962963;0.0;0.3703703703703703;-0.3265125;10.585459;10.68495;18.34096;4.5806613
Częściowy fałsz;Energetyka, która stanowi 1⁄3 rosyjskiej gospodarki i połowę wpływów z eksportu.;-0.0089954901486635;-0.0089954901486635;11.0;11.0;1.0;1.0;0.0909090909090909;0.0;0.5454545454545454;-0.9003727;10.641319;11.167661;14.533429;5.9206896
Fałsz;46 tys. polskich firm się zamknęło jednoosobowych przez ostatnie 2 lata.;-0.2937470376491546;-0.2937470376491546;11.0;11.0;1.0;1.0;0.2727272727272727;0.0909090909090909;0.2727272727272727;-1.2791245;11.383011;10.485632;15.288381;7.1825423
Fałsz;Dziesiątki tysięcy ludzi wyleczonych Amantadyną, dzięki takiemu leczeniu żyją, a Oni twierdzą że badania nie potwierdzają.;-0.1583762913942337;-0.1583762913942337;16.0;16.0;3.0;1.0;0.125;0.0625;0.5;-1.0234582;11.459061;9.141443;17.14095;6.202423
Prawda;A tymczasem poziom wymiany gospodarczej Niemiec z Rosją jest mniejszy niż wymiany gospodarczej Niemiec z Polską.;-0.0089954901486635;-0.0089954901486635;12.0;12.0;0.0;4.0;0.25;0.0833333333333333;0.3333333333333333;-1.1692863;10.09384;10.321458;15.574995;4.8592405
Prawda;Według danych samego Gazpromu firma w 2020 roku dostarczyła do Europy 174,9 mld m3 gazu. A to znaczy, że łączna przepustowość wszystkich gazociągów biegnących z Rosji do Europy już teraz, bez NS2, jest wyższa niż ilość eksportowanego przez Rosję gazu! Tylko przez terytorium Ukrainy Rosjanie mogliby przesyłać ponad 145 mld m3 rocznie. ;-0.0089954901486635;-0.0339979939162731;45.0;46.0;4.0;7.0;0.1555555555555555;0.0444444444444444;0.2666666666666666;-1.1823486;10.9762535;11.287892;15.1631155;5.2824664
Prawda;Przepustowość Nord Stream 1 i 2 może wynosić łącznie 110 mld m3 rocznie. Jest więc oczywiste, że po jego uruchomieniu Rosjanie będą mogli dalej zmniejszać tranzyt przez terytorium Ukrainy. Tym bardziej, że w roku 2024 wygasa pięcioletnia umowa zawarta pomiędzy spółkami Naftohaz i Gazprom. Zobowiązuje ona Gazprom do przesyłania przez terytorium Ukrainy 65 mld m3 gazu w pierwszym roku i po 40 mld m3 rocznie w kolejnych latach. Co będzie potem? Nie wiadomo.;-0.0089954901486635;-0.1553928585102161;56.0;55.0;6.0;8.0;0.1428571428571428;0.1428571428571428;0.2321428571428571;-1.0707283;11.1023035;11.276614;15.408602;5.087619
Manipulacja;Likwidacja polskiej armii za rządów Platformy Obywatelskiej, no zmniejszenie do mniej niż 60 tys. liczby żołnierzy, przeznaczanie mniej niż 2 proc. PKB na armię.;-0.0997127220034599;-0.0997127220034599;22.0;23.0;1.0;2.0;0.0909090909090909;0.0454545454545454;0.3636363636363636;-1.7748816;11.264951;12.024897;16.302702;6.2195654
Fałsz;Likwidacja polskiej armii za rządów Platformy Obywatelskiej, no zmniejszenie do mniej niż 60 tys. liczby żołnierzy, przeznaczanie mniej niż 2 proc. PKB na armię.;-0.0997127220034599;-0.0997127220034599;22.0;23.0;1.0;2.0;0.0909090909090909;0.0454545454545454;0.3636363636363636;-1.7711107;11.273824;12.025916;16.298754;6.1887536
Prawda;No i powiedzmy o tym alkoholu. Według różnych badań alkohol powoduje co 10 sekund śmierć.;-0.1579430997371673;-0.2050477527081966;15.0;14.0;1.0;0.0;0.1333333333333333;0.0;0.2666666666666666;-1.1387341;11.046597;9.316722;16.09919;7.0187883
Manipulacja;Platforma robiła różnego rodzaju rzeczy jeszcze gorsze.  chociażby to, jak powoływano szefa Narodowego Banku. Jednego dnia był posłem, drugiego dnia został szefem Banku. I to wtedy apolityczny szef mógł być i nie było problemu, a teraz jest jakiś wielki problem, bo prokurator  prawnik zostaje członkiem Trybunału Konstytucyjnego.  Ja mówię o Balcerowiczu.;-0.1774035841226577;-0.2901421815156936;48.0;42.0;1.0;6.0;0.1875;0.0625;0.3958333333333333;-0.51174974;10.930173;10.737455;18.838766;4.6140823
Prawda;Finansowy rynek Rosji jest w tej chwili zdominowany  w 55 proc, przez 4 główne banki. ;-0.0089954901486635;-0.0089954901486635;14.0;14.0;0.0;1.0;0.2142857142857142;0.0;0.2142857142857142;-0.8874009;10.541535;11.155098;15.057816;6.034121
Prawda;Ukraina jest dla Polski bardzo ważnym partnerem gospodarczym, czwartym co do wielkości, jako kraj spoza Unii, który jest odbiorcą naszego eksportu.;-0.0089954901486635;-0.0089954901486635;20.0;20.0;1.0;3.0;0.15;0.1;0.25;-1.2895871;9.971877;10.413857;15.828737;5.011435
Nieweryfikowalne;Węgiel z Rosji nie jest wykorzystywany do elektrowni systemowych, tylko ewentualnie w indywidualnych gospodarstwach.;-0.1368566155433654;-0.1368566155433654;14.0;14.0;0.0;1.0;0.2142857142857142;0.0;0.1428571428571428;-1.0820454;10.7116785;10.902821;14.686049;5.43156
Manipulacja;Na rynku pracy osoby z niepełnosprawnościami w Polsce, w naszym kraju, mają się najgorzej w Europie. Tylko ok. 1⁄3 takich osób pracuje, a w Europie to jest ponad połowa.;-0.0089954901486635;-0.0451755542308092;25.0;25.0;1.0;3.0;0.0;0.12;0.28;-1.8721619;11.268501;10.042555;15.5729265;6.4747944
Prawda;Na dworcach faktycznie nie wolno sprzedawać alkoholu. Ale na lotniskach już tak.;-0.5907933115959167;-0.5278766304254532;12.0;11.0;0.0;1.0;0.0833333333333333;0.1666666666666666;0.25;-0.57223123;11.363856;9.2251215;16.44892;5.71966
Fałsz;Ceny prądu, 60 proc., to cena polityki klimatycznej, czyli ten podatek ETS, który został zaakceptowany przez panią premier Ewę Kopacz.;-0.0089954901486635;-0.0089954901486635;20.0;19.0;1.0;1.0;0.1;0.0;0.35;-0.73521626;10.991471;11.385597;17.201134;5.0273957
Manipulacja;Krym się odłączył od Ukrainy i przyłączył do Rosji  wolą 90 proc. ludności.;-0.0089954901486635;-0.0089954901486635;13.0;13.0;3.0;3.0;0.0;0.0769230769230769;0.0769230769230769;-1.2912107;11.072543;9.597092;15.106522;7.289298
Prawda;Chciałam państwu powiedzieć, że WHO mówi, że w tym programie COVAX, czyli w tym programie, który mówi o wyszczepieniu całej populacji światowej, czyli dostarczeniu populacji na świecie szczepionek tam, gdzie po prostu ludzi na nie nie stać, brakuje w tej chwili 5 mld dolarów do tego, żeby ten program został zrealizowany.;-0.0089954901486635;-0.0089954901486635;41.0;39.0;3.0;1.0;0.1951219512195122;0.048780487804878;0.2926829268292683;-1.335035;11.409692;10.725206;17.742056;4.9269977
Prawda;Temat tabu: samobójstwa wśród seniorów. Przez ostatnie 3 lata średnio samobójstwo popełniło ok. 1600 osób rocznie w wieku powyżej 60 roku życia.;-0.0523424744606018;-0.1041616722941398;22.0;21.0;5.0;0.0;0.0909090909090909;0.0909090909090909;0.4090909090909091;-1.6291618;11.167748;9.594959;16.029753;7.27021
Fałsz;Przecież teraz wiemy, że szczepienia nie chronią przed zakażeniem, nie chronią przed zachorowaniem, nie chronią przed transmisją ani przed śmiercią. Umierają zarówno zaszczepieni, jak i niezaszczepieni. Chorują zaszczepieni i niezaszczepieni. A więc dlaczego chcemy wchodzić w rozwiązania, które się nie sprawdziły?;-0.0089954901486635;-0.0504888035356998;30.0;30.0;3.0;0.0;0.1666666666666666;0.1;0.2666666666666666;-1.0407926;11.692591;9.172366;17.476587;5.913602
