assestment;text
Prawda;31 marca w Poznaniu wyły syreny na polecenie (…) prezydenta Jaśkowiaka, który dzisiaj mówi, że on z uwagi na wrażliwość ukraińskich uchodźców tych syren nie uruchomi. 10 dni temu, 31 marca, nie było Ukraińców w Poznaniu?
Fałsz;Jeżeli chodzi o odbieranie odznaczeń, to taką żelazną zasadą jest u nas, że to się odbywa na podstawie decyzji sądu, że to musi niezależny organ orzec winę itd. (…) Wtedy pan prezydent pozbawia orderu czy odznaczeń. Mieliśmy do tej pory dwa takie przypadki, kiedy zostały właśnie wydane orzeczenia sądowe dotyczące winy takiej osoby i w ten sposób jest ona uznawana za niegodną.
Prawda;Opinia publiczna została poinformowana przez Brukselę, że system SWIFT został zdjęty ze stołu. A ja mówię – tylko 7 banków zostało objętych (…) odłączeniem od systemu SWIFT. A pozostałe banki, łącznie ze Sbierbankiem, z Gazprombankiem? Nie, nadal funkcjonują. I tak naprawdę mogą sobie omijać te blokady.
Prawda;Codziennie na Ukrainie co 6 godzin ginie dziecko, co 3 godziny dziecko jest ranne.
Prawda;Nasi poprzednicy ani złotówki (…) nie zwiększyli wynagrodzeń dla sfery budżetowej. Ten punkt bazowy dla pracowników służby cywilnej nie drgnął za czasów rządów pana Donalda Tuska.
Manipulacja;Polskie społeczeństwo jest w dziewięćdziesięciu kilku procentach proukraińskie, antyrosyjskie. W odróżnieniu np. od społeczeństwa francuskiego, gdzie tam chyba (…) 52 proc. uważa, że Rosja ma rację. (…) W Niemczech była zdaje się większość albo blisko połowy społeczeństwa, która uważała, że Ukrainie nie należy pomagać, nie przekazywać uzbrojenia. 
Fałsz;Za uzależnienie energetyki i gospodarki Węgier od Rosji odpowiadają dzisiejsi rywale Viktora Orbana. Trzymam kciuki za zwycięstwo wyborcze Fideszu.
Prawda;Ja zresztą apelowałem (…), żeby rząd, ponieważ jest właścicielem największej spółki (…) paliwowej w Polsce, czyli PKN Orlen, spowodował, że PKN Orlen nie będzie kupował rosyjskiej ropy, bo Polska jest drugim co do wielkości importerem rosyjskiej ropy w Unii Europejskiej, drugim co do wielkości.
Fałsz;95-96 proc. rosyjskiej ropy trafia do Europy dzięki tankowcom, a nie dzięki rurociągom. 
Prawda;My w 70 proc. importujemy ropę właśnie z tego kierunku (z Rosji – przyp. Demagog).
Prawda;Konsumujemy go dużo, 40 proc. konsumpcji gazu w Europie to gaz rosyjski i nie daje się go łatwo zastąpić. (…) My (Unia Europejska – przyp. Demagog) importujemy jakieś 150 mld m³ gazu z Rosji.
Fałsz;Gdyby Ukraina nie prowadziła polityki wrogiej, kwestionując bezpieczeństwo Rosji, tak by nie było. (…) ostrzeliwała codziennie Donbas, Donieck, Ługańsk, gdzie są nasi ludzie (…). I gdyby nie rozpoczęła się „specjalna operacja wojskowa” Rosji, za tydzień czy dwa byłoby tak samo, bo wojsko ukraińskie wtargnęłoby na Donbas.
Fałsz;My (Rosjanie – przyp. Demagog) stosujemy broń wysoko precyzyjną i wyłącznie przeciwko celom militarnym. (…) Robimy wszystko, co możliwe, żeby oszczędzać życie cywilów.
Fałsz;Jak na Mariupolu, gdzie ten szpital porodowy niby był zbombardowany przez Rosję. Okazało się, że dawno nie ma tam ani lekarzy, ani kobiet, ani dzieci, ale były pozycje batalionów nazistowskich.
Fałsz;W obecnych warunkach rozprzestrzenianie fejków jest karalne (w Rosji – przyp. Demagog).
Prawda;Z terenu Białorusi prowadzone są działania wojenne. Wystrzeliwane są rakiety (rosyjskie – przyp. Demagog), wojska lądowe swobodnie poruszają się po terenie Białorusi i właśnie z tego kraju atakują pozycje ukraińskie. Natomiast jednostki lądowe białoruskie nie były do tej pory zaangażowane w konflikt.
Manipulacja;Pfizer ogłosił, że nie wycofa się z Rosji. Niektórzy mogą mieć teraz spory dylemat.
Nieweryfikowalne;Średnia wieku polskich rezerwistów jest powyżej 50. roku życia.
Manipulacja;Misja pokojowa w Kosowie to jest właśnie ten przykład, kiedy to Sojusz Północnoatlantycki wprowadził właśnie taką misję, misję pokojową. O tym właśnie mówił pan premier Jarosław Kaczyński w Kijowie. W tej misji pokojowej brali i biorą udział wciąż żołnierze polscy.
Prawda;Od 2013 Xi Jinping z Putinem spotkali się 37 razy.
Częściowy fałsz;To jest bardzo dobre! W czasie gdy MS był @bbudka Polska miała na koncie aż 576 niewykonanych wyroków ETPCz. W czasie gdy MS ponownie został @ZiobroPL liczba niewykonanych wyroków przez Polskę spadła do 98.
Fałsz;Przypominam, że są kraje w Europie Zachodniej, które mają uchwały parlamentu, jak np. Holandia, które zobowiązują rząd holenderski, żeby pod żadnym pozorem Ukrainy do Unii nie wpuścić.
Fałsz;»Wspólnie z partnerami z Unii Europejskiej zdecydowaliśmy wczoraj, że zamykamy wszystkie banki rosyjskie, wyłączymy im system SWIFT « – powiedział w niedzielę w Bundestagu kanclerz Niemiec Olaf Scholz. I co? I okazało się to kłamstwem.
Prawda;Tak jak ma to miejsce w stosunku do wszystkich cudzoziemców w Polsce, mogą oni (dzieci uchodźców z Ukrainy – przyp. Demagog) realizować w Polsce obowiązek szkolny, który również jest obowiązkiem funkcjonującym w Ukrainie. Oznacza to, że realizacja obowiązku szkolnego w Polsce konsumuje ich obowiązek szkolny w Ukrainie.
Fałsz;Polski eksport jest większy od eksportu rosyjskiego, nawet wliczając rosyjskie surowce naturalne.
Prawda;17 proc. żołnierzy Ukrainy to są kobiety, warto też odnotować.
Nieweryfikowalne;Dziś już ofiary po stronie armii (…) rosyjskiej są na poziomie tej, którą poniosła armia radziecka w Afganistanie. Tylko że tamta wojna trwała 10 lat, a tu 10 dni.
Częściowy fałsz;Przez ostatnie 20 lat (…) Polska wydała 733 mld zł, zapłaciła Rosji za gaz za ropę i za węgiel.
Częściowy fałsz;Otóż od 2015 r. przybyło ponad 1,5 GW mocy zainstalowanej w wietrze na lądzie, dzisiaj jest to moc ponad 7 GW mocy zainstalowanej. A trzeba powiedzieć, że w aukcjach OZE, które odbyły się w ostatnich 3 latach, zakontraktowaliśmy kolejne blisko 5 GW i one zostaną wybudowane.
Prawda;Premier Bielecki jako pierwszy premier na świecie uznał niepodległe państwo ukraińskie.
Prawda;Przypomnę, że kilka lat temu Komisja Europejska umorzyła śledztwo wobec Gazpromu, nie stosując wysokich kar, do których miała prawo.
Prawda;Od 2020, od tego kryzysu powyborczego na Białorusi, (…) która jest, no kilkukrotnie mniejsza niż Ukraina, Polska wydała prawie 250 tys. wiz dla Białorusinów, (…) którzy z różnych powodów chcieli wyjechać ze swojego kraju.
Prawda;Ilość węgla kupowanego z Rosji przez ostatnie 7 lat wzrosła, a nie zmalała.
Prawda;Putin w ostatnich latach zbroił się nie tylko militarnie, ale również finansowo. Zgromadził potężne zasoby walutowe – ponad 600 mld dolarów.
Prawda;Panie redaktorze, mógłbym zacytować wypowiedzi, pan również może sięgnąć do archiwalnych wypowiedzi pana premiera Morawieckiego, który zapewniał, i pana Szymańskiego, że ani jeden eurocent nie będzie zablokowany, ani jedno euro.
Częściowy fałsz;Energetyka, która stanowi 1⁄3 rosyjskiej gospodarki i połowę wpływów z eksportu.
Fałsz;46 tys. polskich firm się zamknęło jednoosobowych przez ostatnie 2 lata.
Fałsz;Dziesiątki tysięcy ludzi wyleczonych Amantadyną, dzięki takiemu leczeniu żyją, a Oni twierdzą że badania nie potwierdzają.
Prawda;A tymczasem poziom wymiany gospodarczej Niemiec z Rosją jest mniejszy niż wymiany gospodarczej Niemiec z Polską.
Prawda;Według danych samego Gazpromu firma w 2020 roku dostarczyła do Europy 174,9 mld m³ gazu. A to znaczy, że łączna przepustowość wszystkich gazociągów biegnących z Rosji do Europy już teraz, bez NS2, jest wyższa niż ilość eksportowanego przez Rosję gazu! Tylko przez terytorium Ukrainy Rosjanie mogliby przesyłać ponad 145 mld m³ rocznie. 
Prawda;Przepustowość Nord Stream 1 i 2 może wynosić łącznie 110 mld m³ rocznie. Jest więc oczywiste, że po jego uruchomieniu Rosjanie będą mogli dalej zmniejszać tranzyt przez terytorium Ukrainy. Tym bardziej, że w roku 2024 wygasa pięcioletnia umowa zawarta pomiędzy spółkami Naftohaz i Gazprom. Zobowiązuje ona Gazprom do przesyłania przez terytorium Ukrainy 65 mld m³ gazu w pierwszym roku i po 40 mld m³ rocznie w kolejnych latach. Co będzie potem? Nie wiadomo.
Manipulacja;Likwidacja polskiej armii (za rządów Platformy Obywatelskiej – przyp. Demagog), no zmniejszenie do mniej niż 60 tys. (liczby żołnierzy – przyp. Demagog), przeznaczanie mniej niż 2 proc. (PKB – przyp. Demagog) na armię.
Fałsz;Likwidacja polskiej armii (za rządów Platformy Obywatelskiej – przyp. Demagog), no zmniejszenie do mniej niż 60 tys. (liczby żołnierzy – przyp. Demagog), przeznaczanie mniej niż 2 proc. (PKB – przyp. Demagog) na armię.
Prawda;No i powiedzmy o tym alkoholu. Według różnych badań alkohol powoduje co 10 sekund śmierć.
Manipulacja;Platforma robiła różnego rodzaju rzeczy jeszcze gorsze. (…) chociażby to, jak powoływano szefa Narodowego Banku. Jednego dnia był posłem, drugiego dnia został szefem Banku. I to wtedy apolityczny szef mógł być i nie było problemu, a teraz jest jakiś wielki problem, bo prokurator (…) prawnik zostaje członkiem Trybunału Konstytucyjnego. (…) Ja mówię o Balcerowiczu.
Prawda;Finansowy rynek Rosji jest w tej chwili zdominowany (…) w 55 proc, przez 4 główne banki. 
Prawda;Ukraina jest dla Polski bardzo ważnym partnerem gospodarczym, czwartym co do wielkości, jako kraj spoza Unii, który jest odbiorcą naszego eksportu.
Nieweryfikowalne;Węgiel z Rosji nie jest wykorzystywany do elektrowni systemowych, tylko ewentualnie w indywidualnych gospodarstwach.
Manipulacja;Na rynku pracy osoby z niepełnosprawnościami w Polsce, w naszym kraju, mają się najgorzej w Europie. Tylko ok. 1⁄3 takich osób pracuje, a w Europie to jest ponad połowa.
Prawda;Na dworcach faktycznie nie wolno sprzedawać alkoholu. Ale na lotniskach już tak.
Fałsz;Ceny prądu, 60 proc., to cena polityki klimatycznej, czyli ten podatek ETS, który został zaakceptowany przez panią premier Ewę Kopacz.
Manipulacja;Krym się odłączył od Ukrainy i przyłączył do Rosji (…) wolą 90 proc. ludności.
Prawda;Chciałam państwu powiedzieć, że WHO mówi, że w tym programie COVAX, czyli w tym programie, który mówi o wyszczepieniu całej populacji światowej, czyli dostarczeniu populacji na świecie szczepionek tam, gdzie po prostu ludzi na nie nie stać, brakuje w tej chwili 5 mld dolarów do tego, żeby ten program został zrealizowany.
Prawda;Temat tabu: samobójstwa wśród seniorów. Przez ostatnie 3 lata średnio samobójstwo popełniło ok. 1600 osób rocznie w wieku powyżej 60 roku życia.
Fałsz;Przecież teraz wiemy, że szczepienia nie chronią przed zakażeniem, nie chronią przed zachorowaniem, nie chronią przed transmisją ani przed śmiercią. Umierają zarówno zaszczepieni, jak i niezaszczepieni. Chorują zaszczepieni i niezaszczepieni. A więc dlaczego chcemy wchodzić w rozwiązania, które się nie sprawdziły?
Prawda;Dzięki rządowej tarczy antyinflacyjnej mamy najniższy VAT na paliwa w UE. Na stacjach @PKN_ORLEN efekty tych zamian widać już dzisiaj. Liczymy na to, że pozostali gracze rynkowi również wpiszą się w ten trend
Manipulacja;(…) do tej pory jesteśmy na ostatnim miejscu w Europie, jeżeli chodzi o ilość testów na milion mieszkańców, i na 99. miejscu na świecie pod względem ilości testów na milion mieszkańców.
Prawda;Osoby niezaszczepione w Polsce, 60 parę proc. z nich, boi się szczepionek.
Manipulacja;Mówi pan (Przemysław Czarnek – przyp. Demagog) o pomocy psychologicznej ministerstwa edukacji. Panie ministrze, przeznacza pan 3 zł na ucznia na pomoc psychologiczną. Za 3 zł nie wyciągnie się dziecka z depresji, za 3 zł nie uratuje się go przed próbą samobójczą (…) albo pozbawieniem się życia.
Fałsz;Nasz klin (podatkowy – przyp. Demagog) jest wysoki. (…) Większość państw europejskich ma ten klin niższy.
Nieweryfikowalne;Dziś można zauważyć, pewne pozytywne tendencje, np. to, że w końcu, po wielu latach, większa liczba Polaków wraca do naszej ojczyzny niż z niej wyjeżdża.
Częściowy fałsz;Zaostrzenie konfliktu na Ukrainie stanowi potencjalne zagrożenie dla miejscowych polskich inwestycji. Według danych Narodowego Banku Ukrainy w 2020 r. wyniosły one 129,3 mln dolarów, czyniąc Polskę ósmym największym inwestorem w tym kraju.
Prawda;W latach największego kryzysu związanego z wojną w Donbasie (dwuletni okres 2014-2015) polski eksport na Ukrainę spadł o 30 proc., a eksport do Rosji o 37 proc. Obecnie Ukraina jest czwartym odbiorcą polskiego eksportu poza państwami UE (2,19 proc. udziału w całości eksportu)
Fałsz;¼ rolników żyje poniżej skrajnego ubóstwa. To są dane przedstawione przez GUS.
Prawda;Mamy 11 służb, które mają dziś uprawnienia do tego, żeby nas podsłuchiwać. 11 służb w Polsce. 
Nieweryfikowalne;Psycholog w każdej szkole jeszcze nigdy nie był tak potrzebny jak dziś, gdy niemal połowa polskich nastolatków boryka się z objawami depresji.
Prawda;(…) liczba dziecięcych prób samobójczych rośnie z roku na rok.
Fałsz;Jak na razie, za rządów Prawa i Sprawiedliwości bezrobocie tylko malało, nigdy nie wzrosło.
Prawda;Komisja śledcza ma uprawnienia, no powiedzmy, quasi–prokuratorskie. Może wzywać świadków, może powoływać biegłych, może nakazać doprowadzenie przed oblicze komisji.
Prawda;Ostatni raport PKO BP w zakresie kosztów transformacji związanej z Fit for 55 pokazał, że koszty dla polskiej gospodarki do 2030 roku to jest 2,4 bln zł, z czego luka między tym, co dostaniemy, a tym, co musimy wydać, to jest 1 bln 200 mld zł. To jest to, co nam będzie brakowało.
Prawda;Polska w tym okresie transformacji (…) zredukowaliśmy CO2 o 32 proc.
Nieweryfikowalne;Ok. 40% osób zarabia w Polsce 3400 zł lub mniej.
Fałsz;Wczoraj zobaczyłem takie dane, porównanie dochodów budżetowych z lat 2008–2015 i z lat 2016–2022. Przez 7 lat Platformy Obywatelskiej wzrost wyniósł ok. 10 mld. Przez 7 lat Prawa i Sprawiedliwości wzrost dochodów budżetowych wyniósł 200 mld.
Fałsz;Jeden ryzykuje tym, że się nie szczepi, drugi ryzykuje tym, że się szczepi. Mówię to (…) zakładając, że mimo wszystko ten preparat nie jest tam w 100 proc. przebadany.
Fałsz;Doskonale wiemy, że ten wirus w sytuacji gdy nie ma leczenia, a są objawy, atakuje szybko płuca i oskrzela osłabionego organizmu. Wówczas trzeba podać antybiotyk, ale nie za osiem dni, tylko natychmiast.
Prawda;A co się stało z projektem pana prezydenta Andrzeja Dudy? Pamiętam, że w kampanii wyborczej napisał taki projekt, który miał zapewnić wszystkim rodzicom możliwość współdecydowania o rodzajach treści oraz sposobie prowadzenia zajęć dodatkowych. To była obietnica prezydenta Andrzeja Dudy w kampanii. Ten projekt trafił do parlamentu. Jak dzisiaj sprawdzałem, nawet opinii rządu nie ma.
Prawda;Według rankingu, opublikowanego 4 stycznia przez „The Economist”, Polska jest 6. krajem, który najlepiej poradził sobie gospodarczo w czasie pandemii.
Prawda;Skrajne ubóstwo wśród dzieci w 2020 r. wzrosło z 4,5% w 2019 r. do 5,9% w 2020 r. Oznacza to dodatkowych 100 tys. dzieci, które popadło w skrajne ubóstwo.
Fałsz;Religia (…) jest jej więcej niż WF-u.
Fałsz;Ten preparat (szczepionki – przyp. Demagog) przynosi odwrotny skutek, pomaga się rozwijać pandemii.
Prawda;Czy prezes Kaczyński obiecał 14. emeryturę na stałe? Tak. 27 IX 2019 r. w Płocku.
Manipulacja;To Platforma Obywatelska w swoich materiałach programowych z 2005 r. wskazywała, że sędziowie w praktyce nie ponoszą odpowiedzialności za naruszenie prawa. Postulowała, aby uniezależnić sądownictwo dyscyplinarne od sędziowskiej korporacji i wprowadzić Sąd Dyscyplinarny Zawodów Prawniczych, których członków nominowałby prezydent. Proponowała, aby wyboru KRS dokonywał Sejm. Opowiadała się za zmianami, które dziś obłudnie sabotuje.
Prawda;Jeszcze w marcu zeszłego roku szef Narodowego Banku Polskiego mówił, że to, co Polsce grozi, to deflacja, że inflacją w ogóle nie należy się przejmować.
Manipulacja;W przestrzeni publicznej jest na ten temat (Funduszu Sprawiedliwości – przyp. Demagog) wiele dezinformacji. Słyszymy, że Fundusz ma wspierać wyłącznie ofiary przestępstw. To nieprawda. Ustawa nakłada na Fundusz trzy równoważne zadania: pomoc dla ofiar, wsparcie dla skazanych, którzy zakończyli karę pozbawienia wolności, a trzeci cel to przeciwdziałanie przestępczości. Dlatego Fundusz udzielił wsparcia CBA zgodnie ze swoim ustawowym zadaniem.
Fałsz;(…) powierzchnia Kazachstanu równa się powierzchni całej Europy.
Prawda;Pakiet klimatyczny jest elementem prawa europejskiego już przyjętego. W związku z tym nie można już go wypowiedzieć w taki prosty sposób, tylko trzeba byłoby znowelizować przepisy na poziomie ogólnoeuropejskim. Podobnie jak właśnie w sprawie ETS-u. Dlatego potrzebna jest ponadpartyjna działalność w tym zakresie, z różnych frakcji, z różnych państw, aby to było możliwe. 
Prawda;W roku 2021 25 mld zł trafiło ze sprzedaży emisji CO2 do budżetu państwa. 
Fałsz;Wiemy doskonale, że samym rozporządzeniem nie można wprowadzić przymusowych szczepień. Art. 39 Konstytucji mówi o tym, że nikt nie może być poddany eksperymentom naukowym, w tym medycznym, bez dobrowolnie wyrażonej zgody.
Fałsz;Człowiek przy dzisiejszym stanie wiedzy, techniki i technologii nie jest zdolny do realnego wpływu na cykliczne przemiany klimatyczne.
Manipulacja;Więcej niż w Polsce za prąd, w stosunku do zarobków, płaci się tylko w takich krajach jak Sierra Leone czy Uganda.
Fałsz;Wiemy, że istnieją na rynku leki, które działają. Przede wszystkim amantadyna i iwermektyna. To są leki przetestowane przez wielu lekarzy na dziesiątkach tysięcy ludzi m.in. przez dr. Bodnara z Przemyśla, który wyleczył tysiące pacjentów.
Prawda;W 2020 roku średnia płaca w mikroprzedsiębiorstwach wynosiła 3509 zł brutto, czyli zaledwie 2561 zł na rękę
Fałsz;(…) medykamentów (szczepionki na COVID-19 – przyp. Demagog), które nie mają nic wspólnego z definicją szczepionki.
Prawda;Statystyki pokazują, że ponad 98 proc. wniosków kierowanych do sądu o podsłuchy jest akceptowanych przez sądy.
Prawda;Jest taki indeks światowy wolności gospodarczej. Pierwsze 4 lata waszych rządów (Zjednoczonej Prawicy – przyp. Demagog), spadliśmy o 30 pozycji (…), a on nie obejmuje jeszcze roku ‘20 i ‘21.
Prawda;Artykuł 53. Prawa o ruchu drogowym, mówi, że pojazd jest uprzywilejowany wtedy, jak jednocześnie ma sygnał świetlny i dźwiękowy. 
Prawda;Były robione badania i 60 proc. społeczeństwa jest za tym, żeby były szczepienia obowiązkowe, w tym 19 proc. szczepienia dotyczące pewnych grup zawodowych, a 40 w ogóle.
Prawda;W rankingu wolności mediów Polska, można powiedzieć, spadła dramatycznie z 18. na 64. miejsce. Przed nami jest wiele krajów Afryki.
Fałsz;Prawo i Sprawiedliwość chce zwalczyć TVN, bo oglądalność „Faktów” jest zdecydowanie lepsza niż „Wiadomości”.
Fałsz;Nikt z Konfederacji nie jest członkiem Komisji Zdrowia.
Fałsz;Transparent, o który toczy się awantura:
Nieweryfikowalne;W 2020 roku odeszło z zawodu 10 500 pielęgniarek i położnych, a do publicznej służby zdrowia trafiło jedynie 2800. 4 pielęgniarki i położne odeszły, a tylko 1 przyszła do służby zdrowia.
Prawda;Konkretne liczby pokazują konkretne dane, a więc wskaźnik zatrudnienia kobiet (…) 64% to jest wzrost od roku 2015 o 13%, wskaźnik aktywności zawodowej kobiet dzisiaj wynosi 66% i ten wzrost jest o blisko 9% w porównaniu do roku 2015.
Manipulacja;To nie jest (polski Trybunał Konstytucyjny – przyp. Demagog) pierwszy sąd konstytucyjny, który orzeka na temat zgodności prawa unijnego z prawem krajowym. Wiele innych sądów, jak np. Bundesverfassungsgericht z Karlsruhe – niemiecki sąd konstytucyjny, francuski sąd konstytucyjny czy hiszpański sąd konstytucyjny, wydały podobne orzeczenia.
Prawda;Czego Polacy się obawiają, co jest największą troską wszystkich polskich rodzin. Ponad 40 proc. Polaków boi się wzrostu cen i drożyzny (…). Na drugim miejscu tych trosk, według tego badania, jest właśnie pandemia (…). Na trzecim miejscu jest lęk Polaków przed wojną rosyjsko-ukraińską, 10 proc. boi się tego konfliktu. (…) I również 10 proc., i to są te cztery największe lęki Polaków, ten czwarty to strach przed pogłębiającym się konfliktem Polski z Unią Europejską.
Prawda;Grzywny są bardzo precyzyjnie opisane (za nieszczepienie dzieci na takie choroby jak błonica, krztusiec, gruźlica, tężec – przyp. Demagog). Grzywny są nie większe niż 10 tys. zł, mogą być dawane wielokrotnie, łączna kwota nie przekracza 50 tys.
Prawda;Nowy kanclerz Niemiec, w tym tygodniu zaprzysiężony, najpierw odwiedził Brukselę, później Paryż. Trzecia jego wizyta zagraniczna to wizyta w Warszawie.
Prawda;Przeciętna długość życia w Polsce w 2020 roku wyniosła 76,6 lat. O 4 lata mniej niż średnia w UE. W latach 2019-2020 spadła o 1,4 roku. Jeden z najwyższych spadków w UE.
Fałsz;I na koniec tego słyszymy, że on (Łukasz Mejza – przyp. Demagog) sobie bierze urlop sejmowy. Ja nie wiem, co to w ogóle jest, bo nie ma czegoś takiego jak urlop sejmowy.
Fałsz;Ostatnio widziałem takie statystyki dotyczące samych zakażeń, możliwości zakażenia się w ogóle, to tu nie ma różnicy między zaszczepionymi i niezaszczepionymi. Zaszczepienie (…) zmniejsza prawdopodobieństwo, też nie chroni w pełni, ale zmniejsza prawdopodobieństwo ciężkiego przebiegu. I bardzo zmniejsza, choć też nie całkowicie eliminuje (…) ryzyko śmierci w wyniku zakażenia koronawirusem. (…) Z drugiej strony wiemy, że są to szczepionki eksperymentalne, że one nie przeszły takiego cyklu testowania jak zwykłe szczepionki.
Prawda;Bo jak przejmowali (Prawo i Sprawiedliwość – przyp. Demagog) od nas rządzenie Polską, to mieliśmy deflację, znaczy ceny nie tylko nie rosły, ale one wręcz spadały.
Manipulacja;Możemy dyskutować o inflacji, ale podyskutujmy o bezrobociu. 3,4 proc. w Polsce jest bezrobocie. Średnia europejska – 6,6, średnia w strefie euro – 7,3, a w tych krajach (…), gdzie jest właśnie najniższa inflacja w Europie, krajach południa, Grecja, Hiszpania, to mamy do czynienia z bezrobociem na poziomie kilkunastu procent.
Manipulacja;Według badań GUS-u z 2015 roku w 2020 roku na jedną kobietę miało przypadać średnio 1,28 dziecka. Obecnie jest to 1,41 dziecka.
Manipulacja;Wraca (propozycja federalizacji Unii Europejskiej – przyp. Demagog) w postaci propozycji przedstawionej zupełnie ostatnio, w trakcie rokowań o powołanie nowego rządu Federacji Niemieckiej (…). Została sformułowana wprost: wprost Europa na skutek działań niemieckich, to też jest wyraźnie powiedziane, ma iść ku owej federalizacji. A owa federalizacja to m.in. odrzucenie suwerenności poszczególnych państw europejskich, tych, które są dziś w Unii Europejskiej, na rzecz wspominanej w tym dokumencie (umowie koalicyjnej SPD, Zielonych i FDP – przyp. Demagog) suwerenności europejskiej.
Prawda;Koledzy PO i SLD z partii w PE, kanclerze Schroeder i Schuessel,byli premierzy i Fillon i Lipponen oraz była minister spraw zagranicznych Kneissl, rozpoczęli pracę dla rosyjskich firm energetycznych, w tym Nord Stream. To tyle w temacie kto w UE wspiera Putina
Prawda;Ja się pytam, które słowa prezesa Kaczyńskiego są prawdziwe? Bo kilka lat temu powiedział, że z Le Pen macie państwo tyle wspólnego, PiS ma tyle wspólnego, rozumiem, co z Putinem.
